district,year,rate
Werd,2024,25.7499
Werd,2025,25.6982
Werd,2026,25.6466
Werd,2027,25.5949
Werd,2028,25.5433
Werd,2029,25.4917
Werd,2030,25.44
Werd,2031,25.3884
Werd,2032,25.3367
Werd,2033,25.2851
Werd,2034,25.2335
Werd,2035,25.1818
Werd,2036,25.1302
Werd,2037,25.0786
Werd,2038,25.0269
Werd,2039,24.9753
Werd,2040,24.9236
Werd,2041,24.872
Werd,2042,24.8204
Werd,2043,24.7687
Werd,2044,24.7171
Werd,2045,24.6654
Werd,2046,24.6138
Werd,2047,24.5622
Werd,2048,24.5105
Werd,2049,24.4589
Werd,2050,24.4073
Langstrasse,2021,31.653
Langstrasse,2022,31.3682
Langstrasse,2023,31.0834
Langstrasse,2024,30.7986
Langstrasse,2025,30.5138
Langstrasse,2026,30.229
Langstrasse,2027,29.9442
Langstrasse,2028,29.6594
Langstrasse,2029,29.3746
Langstrasse,2030,29.0898
Langstrasse,2031,28.805
Langstrasse,2032,28.5202
Langstrasse,2033,28.2479
Langstrasse,2034,27.9975
Langstrasse,2035,27.7691
Langstrasse,2036,27.5625
Langstrasse,2037,27.3779
Langstrasse,2038,27.2151
Langstrasse,2039,27.0743
Langstrasse,2040,26.9554
Langstrasse,2041,26.8584
Langstrasse,2042,26.7833
Langstrasse,2043,26.7301
Langstrasse,2044,26.6988
Langstrasse,2045,26.6894
Langstrasse,2046,26.6894
Langstrasse,2047,26.6894
Langstrasse,2048,26.6894
Langstrasse,2049,26.6894
Langstrasse,2050,26.6894
Hard,2021,19.6315
Hard,2022,19.6152
Hard,2023,19.5989
Hard,2024,19.5825
Hard,2025,19.5662
Hard,2026,19.5499
Hard,2027,19.5335
Hard,2028,19.5172
Hard,2029,19.5009
Hard,2030,19.4845
Hard,2031,19.4682
Hard,2032,19.4519
Hard,2033,19.4355
Hard,2034,19.4192
Hard,2035,19.4029
Hard,2036,19.3865
Hard,2037,19.3702
Hard,2038,19.3539
Hard,2039,19.3375
Hard,2040,19.3212
Hard,2041,19.3049
Hard,2042,19.2885
Hard,2043,19.2722
Hard,2044,19.2559
Hard,2045,19.2396
Hard,2046,19.2232
Hard,2047,19.2069
Hard,2048,19.1906
Hard,2049,19.1742
Hard,2050,19.1579
Gewerbeschule,2021,22.2309
Gewerbeschule,2022,22.1846
Gewerbeschule,2023,22.1383
Gewerbeschule,2024,22.092
Gewerbeschule,2025,22.0458
Gewerbeschule,2026,21.9995
Gewerbeschule,2027,21.9532
Gewerbeschule,2028,21.907
Gewerbeschule,2029,21.8607
Gewerbeschule,2030,21.8144
Gewerbeschule,2031,21.7682
Gewerbeschule,2032,21.7219
Gewerbeschule,2033,21.6756
Gewerbeschule,2034,21.6294
Gewerbeschule,2035,21.5831
Gewerbeschule,2036,21.5368
Gewerbeschule,2037,21.4906
Gewerbeschule,2038,21.4443
Gewerbeschule,2039,21.398
Gewerbeschule,2040,21.3517
Gewerbeschule,2041,21.3055
Gewerbeschule,2042,21.2592
Gewerbeschule,2043,21.2129
Gewerbeschule,2044,21.1667
Gewerbeschule,2045,21.1204
Gewerbeschule,2046,21.0741
Gewerbeschule,2047,21.0279
Gewerbeschule,2048,20.9816
Gewerbeschule,2049,20.9353
Gewerbeschule,2050,20.8891
Escher Wyss,2021,24.7508
Escher Wyss,2022,24.5533
Escher Wyss,2023,24.3558
Escher Wyss,2024,24.1583
Escher Wyss,2025,23.9608
Escher Wyss,2026,23.7633
Escher Wyss,2027,23.5658
Escher Wyss,2028,23.3683
Escher Wyss,2029,23.1708
Escher Wyss,2030,22.9733
Escher Wyss,2031,22.7758
Escher Wyss,2032,22.5784
Escher Wyss,2033,22.3809
Escher Wyss,2034,22.1834
Escher Wyss,2035,21.9859
Escher Wyss,2036,21.7996
Escher Wyss,2037,21.6284
Escher Wyss,2038,21.4725
Escher Wyss,2039,21.3317
Escher Wyss,2040,21.2062
Escher Wyss,2041,21.0958
Escher Wyss,2042,21.0006
Escher Wyss,2043,20.9206
Escher Wyss,2044,20.8558
Escher Wyss,2045,20.8062
Escher Wyss,2046,20.7718
Escher Wyss,2047,20.7526
Escher Wyss,2048,20.7486
Escher Wyss,2049,20.7486
Escher Wyss,2050,20.7486
Unterstrass,2021,19.2966
Unterstrass,2022,19.2984
Unterstrass,2023,19.3001
Unterstrass,2024,19.3019
Unterstrass,2025,19.3037
Unterstrass,2026,19.3054
Unterstrass,2027,19.3072
Unterstrass,2028,19.309
Unterstrass,2029,19.3108
Unterstrass,2030,19.3125
Unterstrass,2031,19.3143
Unterstrass,2032,19.3161
Unterstrass,2033,19.3178
Unterstrass,2034,19.3196
Unterstrass,2035,19.3214
Unterstrass,2036,19.3231
Unterstrass,2037,19.3249
Unterstrass,2038,19.3267
Unterstrass,2039,19.3284
Unterstrass,2040,19.3302
Unterstrass,2041,19.332
Unterstrass,2042,19.3338
Unterstrass,2043,19.3355
Unterstrass,2044,19.3373
Unterstrass,2045,19.3391
Unterstrass,2046,19.3408
Unterstrass,2047,19.3426
Unterstrass,2048,19.3444
Unterstrass,2049,19.3461
Unterstrass,2050,19.3479
Oberstrass,2021,20.5345
Oberstrass,2022,20.5164
Oberstrass,2023,20.4983
Oberstrass,2024,20.4802
Oberstrass,2025,20.4621
Oberstrass,2026,20.444
Oberstrass,2027,20.4259
Oberstrass,2028,20.4078
Oberstrass,2029,20.3897
Oberstrass,2030,20.3716
Oberstrass,2031,20.3535
Oberstrass,2032,20.3354
Oberstrass,2033,20.3173
Oberstrass,2034,20.2993
Oberstrass,2035,20.2812
Oberstrass,2036,20.2631
Oberstrass,2037,20.245
Oberstrass,2038,20.2269
Oberstrass,2039,20.2088
Oberstrass,2040,20.1907
Oberstrass,2041,20.1726
Oberstrass,2042,20.1545
Oberstrass,2043,20.1364
Oberstrass,2044,20.1183
Oberstrass,2045,20.1002
Oberstrass,2046,20.0821
Oberstrass,2047,20.064
Oberstrass,2048,20.0459
Oberstrass,2049,20.0278
Oberstrass,2050,20.0097
Fluntern,2021,18.641
Fluntern,2022,18.5494
Fluntern,2023,18.4578
Fluntern,2024,18.3662
Fluntern,2025,18.2746
Fluntern,2026,18.183
Fluntern,2027,18.0914
Fluntern,2028,17.9998
Fluntern,2029,17.9082
Fluntern,2030,17.8166
Fluntern,2031,17.725
Fluntern,2032,17.6334
Fluntern,2033,17.5418
Fluntern,2034,17.4502
Fluntern,2035,17.3586
Fluntern,2036,17.267
Fluntern,2037,17.1754
Fluntern,2038,17.0838
Fluntern,2039,16.9922
Fluntern,2040,16.9006
Fluntern,2041,16.809
Fluntern,2042,16.7174
Fluntern,2043,16.6258
Fluntern,2044,16.5342
Fluntern,2045,16.4426
Fluntern,2046,16.351
Fluntern,2047,16.2593
Fluntern,2048,16.1677
Fluntern,2049,16.0761
Fluntern,2050,15.9845
Hottingen,2021,19.6132
Hottingen,2022,19.56
Hottingen,2023,19.5069
Hottingen,2024,19.4537
Hottingen,2025,19.4005
Hottingen,2026,19.3474
Hottingen,2027,19.2942
Hottingen,2028,19.241
Hottingen,2029,19.1879
Hottingen,2030,19.1347
Hottingen,2031,19.0815
Hottingen,2032,19.0284
Hottingen,2033,18.9752
Hottingen,2034,18.922
Hottingen,2035,18.8689
Hottingen,2036,18.8157
Hottingen,2037,18.7625
Hottingen,2038,18.7094
Hottingen,2039,18.6562
Hottingen,2040,18.603
Hottingen,2041,18.5499
Hottingen,2042,18.4967
Hottingen,2043,18.4435
Hottingen,2044,18.3904
Hottingen,2045,18.3372
Hottingen,2046,18.284
Hottingen,2047,18.2308
Hottingen,2048,18.1777
Hottingen,2049,18.1245
Hottingen,2050,18.0713
Hirslanden,2021,18.2618
Hirslanden,2022,18.2832
Hirslanden,2023,18.3046
Hirslanden,2024,18.326
Hirslanden,2025,18.3475
Hirslanden,2026,18.3689
Hirslanden,2027,18.3903
Hirslanden,2028,18.4117
Hirslanden,2029,18.4331
Hirslanden,2030,18.4546
Hirslanden,2031,18.476
Hirslanden,2032,18.4974
Hirslanden,2033,18.5188
Hirslanden,2034,18.5403
Hirslanden,2035,18.5617
Hirslanden,2036,18.5831
Hirslanden,2037,18.6045
Hirslanden,2038,18.626
Hirslanden,2039,18.6474
Hirslanden,2040,18.6688
Hirslanden,2041,18.6902
Hirslanden,2042,18.7116
Hirslanden,2043,18.7331
Hirslanden,2044,18.7545
Hirslanden,2045,18.7759
Hirslanden,2046,18.7973
Hirslanden,2047,18.8188
Hirslanden,2048,18.8402
Hirslanden,2049,18.8616
Hirslanden,2050,18.883
Witikon,2021,12.4311
Witikon,2022,12.453
Witikon,2023,12.4749
Witikon,2024,12.4968
Witikon,2025,12.5187
Witikon,2026,12.5407
Witikon,2027,12.5626
Witikon,2028,12.5845
Witikon,2029,12.6064
Witikon,2030,12.6283
Witikon,2031,12.6502
Witikon,2032,12.6722
Witikon,2033,12.6941
Witikon,2034,12.716
Witikon,2035,12.7379
Witikon,2036,12.7598
Witikon,2037,12.7818
Witikon,2038,12.8037
Witikon,2039,12.8256
Witikon,2040,12.8475
Witikon,2041,12.8694
Witikon,2042,12.8914
Witikon,2043,12.9133
Witikon,2044,12.9352
Witikon,2045,12.9571
Witikon,2046,12.979
Witikon,2047,13.0009
Witikon,2048,13.0229
Witikon,2049,13.0448
Witikon,2050,13.0667
Seefeld,2021,25.2203
Seefeld,2022,25.1771
Seefeld,2023,25.1339
Seefeld,2024,25.0908
Seefeld,2025,25.0476
Seefeld,2026,25.0044
Seefeld,2027,24.9613
Seefeld,2028,24.9181
Seefeld,2029,24.8749
Seefeld,2030,24.8318
Seefeld,2031,24.7886
Seefeld,2032,24.7454
Seefeld,2033,24.7022
Seefeld,2034,24.6591
Seefeld,2035,24.6159
Seefeld,2036,24.5727
Seefeld,2037,24.5296
Seefeld,2038,24.4864
Seefeld,2039,24.4432
Seefeld,2040,24.4001
Seefeld,2041,24.3569
Seefeld,2042,24.3137
Seefeld,2043,24.2706
Seefeld,2044,24.2274
Seefeld,2045,24.1842
Seefeld,2046,24.1411
Seefeld,2047,24.0979
Seefeld,2048,24.0547
Seefeld,2049,24.0116
Seefeld,2050,23.9684
Muehlebach,2021,23.0432
Muehlebach,2022,22.9724
Muehlebach,2023,22.9016
Muehlebach,2024,22.8308
Muehlebach,2025,22.76
Muehlebach,2026,22.6893
Muehlebach,2027,22.6185
Muehlebach,2028,22.5477
Muehlebach,2029,22.4769
Muehlebach,2030,22.4061
Muehlebach,2031,22.3354
Muehlebach,2032,22.2646
Muehlebach,2033,22.1938
Muehlebach,2034,22.123
Muehlebach,2035,22.0522
Muehlebach,2036,21.9815
Muehlebach,2037,21.9107
Muehlebach,2038,21.8399
Muehlebach,2039,21.7691
Muehlebach,2040,21.6983
Muehlebach,2041,21.6276
Muehlebach,2042,21.5568
Muehlebach,2043,21.486
Muehlebach,2044,21.4152
Muehlebach,2045,21.3444
Muehlebach,2046,21.2736
Muehlebach,2047,21.2029
Muehlebach,2048,21.1321
Muehlebach,2049,21.0613
Muehlebach,2050,20.9905
Weinegg,2021,21.5985
Weinegg,2022,21.6244
Weinegg,2023,21.6503
Weinegg,2024,21.6762
Weinegg,2025,21.7022
Weinegg,2026,21.7281
Weinegg,2027,21.754
Weinegg,2028,21.7799
Weinegg,2029,21.8058
Weinegg,2030,21.8317
Weinegg,2031,21.8576
Weinegg,2032,21.8835
Weinegg,2033,21.9094
Weinegg,2034,21.9354
Weinegg,2035,21.9613
Weinegg,2036,21.9872
Weinegg,2037,22.0131
Weinegg,2038,22.039
Weinegg,2039,22.0649
Weinegg,2040,22.0908
Weinegg,2041,22.1167
Weinegg,2042,22.1426
Weinegg,2043,22.1686
Weinegg,2044,22.1945
Weinegg,2045,22.2204
Weinegg,2046,22.2463
Weinegg,2047,22.2722
Weinegg,2048,22.2981
Weinegg,2049,22.324
Weinegg,2050,22.3499
Albisrieden,2021,15.0223
Albisrieden,2022,15.0175
Albisrieden,2023,15.0128
Albisrieden,2024,15.0081
Albisrieden,2025,15.0034
Albisrieden,2026,14.9987
Albisrieden,2027,14.994
Albisrieden,2028,14.9892
Albisrieden,2029,14.9845
Albisrieden,2030,14.9798
Albisrieden,2031,14.9751
Albisrieden,2032,14.9704
Albisrieden,2033,14.9656
Albisrieden,2034,14.9609
Albisrieden,2035,14.9562
Albisrieden,2036,14.9515
Albisrieden,2037,14.9468
Albisrieden,2038,14.942
Albisrieden,2039,14.9373
Albisrieden,2040,14.9326
Albisrieden,2041,14.9279
Albisrieden,2042,14.9232
Albisrieden,2043,14.9185
Albisrieden,2044,14.9137
Albisrieden,2045,14.909
Albisrieden,2046,14.9043
Albisrieden,2047,14.8996
Albisrieden,2048,14.8949
Albisrieden,2049,14.8901
Albisrieden,2050,14.8854
Altstetten,2021,16.2388
Altstetten,2022,16.2453
Altstetten,2023,16.2519
Altstetten,2024,16.2584
Altstetten,2025,16.2649
Altstetten,2026,16.2714
Altstetten,2027,16.2779
Altstetten,2028,16.2845
Altstetten,2029,16.291
Altstetten,2030,16.2975
Altstetten,2031,16.304
Altstetten,2032,16.3106
Altstetten,2033,16.3171
Altstetten,2034,16.3236
Altstetten,2035,16.3301
Altstetten,2036,16.3366
Altstetten,2037,16.3432
Altstetten,2038,16.3497
Altstetten,2039,16.3562
Altstetten,2040,16.3627
Altstetten,2041,16.3693
Altstetten,2042,16.3758
Altstetten,2043,16.3823
Altstetten,2044,16.3888
Altstetten,2045,16.3953
Altstetten,2046,16.4019
Altstetten,2047,16.4084
Altstetten,2048,16.4149
Altstetten,2049,16.4214
Altstetten,2050,16.428
Hoengg,2021,12.8755
Hoengg,2022,12.879
Hoengg,2023,12.8824
Hoengg,2024,12.8858
Hoengg,2025,12.8892
Hoengg,2026,12.8927
Hoengg,2027,12.8961
Hoengg,2028,12.8995
Hoengg,2029,12.903
Hoengg,2030,12.9064
Hoengg,2031,12.9098
Hoengg,2032,12.9133
Hoengg,2033,12.9167
Hoengg,2034,12.9201
Hoengg,2035,12.9236
Hoengg,2036,12.927
Hoengg,2037,12.9304
Hoengg,2038,12.9339
Hoengg,2039,12.9373
Hoengg,2040,12.9407
Hoengg,2041,12.9442
Hoengg,2042,12.9476
Hoengg,2043,12.951
Hoengg,2044,12.9545
Hoengg,2045,12.9579
Hoengg,2046,12.9613
Hoengg,2047,12.9648
Hoengg,2048,12.9682
Hoengg,2049,12.9716
Hoengg,2050,12.9751
Wipkingen,2021,18.4079
Wipkingen,2022,18.345
Wipkingen,2023,18.282
Wipkingen,2024,18.2191
Wipkingen,2025,18.1562
Wipkingen,2026,18.0933
Wipkingen,2027,18.0304
Wipkingen,2028,17.9674
Wipkingen,2029,17.9045
Wipkingen,2030,17.8416
Wipkingen,2031,17.7787
Wipkingen,2032,17.7158
Wipkingen,2033,17.6528
Wipkingen,2034,17.5899
Wipkingen,2035,17.527
Wipkingen,2036,17.4641
Wipkingen,2037,17.4012
Wipkingen,2038,17.3382
Wipkingen,2039,17.2753
Wipkingen,2040,17.2124
Wipkingen,2041,17.1495
Wipkingen,2042,17.0866
Wipkingen,2043,17.0236
Wipkingen,2044,16.9607
Wipkingen,2045,16.8978
Wipkingen,2046,16.8349
Wipkingen,2047,16.772
Wipkingen,2048,16.709
Wipkingen,2049,16.6461
Wipkingen,2050,16.5832
Affoltern,2021,13.8595
Affoltern,2022,13.8101
Affoltern,2023,13.7607
Affoltern,2024,13.7113
Affoltern,2025,13.6619
Affoltern,2026,13.6125
Affoltern,2027,13.563
Affoltern,2028,13.5136
Affoltern,2029,13.4642
Affoltern,2030,13.4148
Affoltern,2031,13.3654
Affoltern,2032,13.316
Affoltern,2033,13.2666
Affoltern,2034,13.2172
Affoltern,2035,13.1678
Affoltern,2036,13.1184
Affoltern,2037,13.0689
Affoltern,2038,13.0195
Affoltern,2039,12.9701
Affoltern,2040,12.9207
Affoltern,2041,12.8713
Affoltern,2042,12.8219
Affoltern,2043,12.7725
Affoltern,2044,12.7231
Affoltern,2045,12.6737
Affoltern,2046,12.6242
Affoltern,2047,12.5748
Affoltern,2048,12.5254
Affoltern,2049,12.476
Affoltern,2050,12.4266
Oerlikon,2021,21.3236
Oerlikon,2022,21.2948
Oerlikon,2023,21.266
Oerlikon,2024,21.2372
Oerlikon,2025,21.2084
Oerlikon,2026,21.1796
Oerlikon,2027,21.1507
Oerlikon,2028,21.1219
Oerlikon,2029,21.0931
Oerlikon,2030,21.0643
Oerlikon,2031,21.0355
Oerlikon,2032,21.0067
Oerlikon,2033,20.9779
Oerlikon,2034,20.9491
Oerlikon,2035,20.9203
Oerlikon,2036,20.8915
Oerlikon,2037,20.8627
Oerlikon,2038,20.8339
Oerlikon,2039,20.805
Oerlikon,2040,20.7762
Oerlikon,2041,20.7474
Oerlikon,2042,20.7186
Oerlikon,2043,20.6898
Oerlikon,2044,20.661
Oerlikon,2045,20.6322
Oerlikon,2046,20.6034
Oerlikon,2047,20.5746
Oerlikon,2048,20.5458
Oerlikon,2049,20.517
Oerlikon,2050,20.4882
Seebach,2021,18.3482
Seebach,2022,18.2825
Seebach,2023,18.2167
Seebach,2024,18.151
Seebach,2025,18.0853
Seebach,2026,18.0195
Seebach,2027,17.9538
Seebach,2028,17.888
Seebach,2029,17.8223
Seebach,2030,17.7566
Seebach,2031,17.6908
Seebach,2032,17.6251
Seebach,2033,17.5593
Seebach,2034,17.4936
Seebach,2035,17.4278
Seebach,2036,17.3621
Seebach,2037,17.2964
Seebach,2038,17.2306
Seebach,2039,17.1649
Seebach,2040,17.0991
Seebach,2041,17.0334
Seebach,2042,16.9676
Seebach,2043,16.9019
Seebach,2044,16.8362
Seebach,2045,16.7704
Seebach,2046,16.7047
Seebach,2047,16.6389
Seebach,2048,16.5732
Seebach,2049,16.5075
Seebach,2050,16.4417
Saatlen,2021,14.1098
Saatlen,2022,14.1342
Saatlen,2023,14.1585
Saatlen,2024,14.1829
Saatlen,2025,14.2073
Saatlen,2026,14.2316
Saatlen,2027,14.256
Saatlen,2028,14.2804
Saatlen,2029,14.3047
Saatlen,2030,14.3291
Saatlen,2031,14.3535
Saatlen,2032,14.3778
Saatlen,2033,14.4022
Saatlen,2034,14.4265
Saatlen,2035,14.4509
Saatlen,2036,14.4753
Saatlen,2037,14.4996
Saatlen,2038,14.524
Saatlen,2039,14.548400000000001
Saatlen,2040,14.5727
Saatlen,2041,14.5971
Saatlen,2042,14.6215
Saatlen,2043,14.6458
Saatlen,2044,14.6702
Saatlen,2045,14.6946
Saatlen,2046,14.7189
Saatlen,2047,14.7433
Saatlen,2048,14.7677
Saatlen,2049,14.792
Saatlen,2050,14.8164
Schwamendingen-Mitte,2021,16.5625
Schwamendingen-Mitte,2022,16.5789
Schwamendingen-Mitte,2023,16.5953
Schwamendingen-Mitte,2024,16.6116
Schwamendingen-Mitte,2025,16.628
Schwamendingen-Mitte,2026,16.6444
Schwamendingen-Mitte,2027,16.6607
Schwamendingen-Mitte,2028,16.6771
Schwamendingen-Mitte,2029,16.6935
Schwamendingen-Mitte,2030,16.7098
Schwamendingen-Mitte,2031,16.7262
Schwamendingen-Mitte,2032,16.7426
Schwamendingen-Mitte,2033,16.7589
Schwamendingen-Mitte,2034,16.7753
Schwamendingen-Mitte,2035,16.7917
Schwamendingen-Mitte,2036,16.808
Schwamendingen-Mitte,2037,16.8244
Schwamendingen-Mitte,2038,16.8408
Schwamendingen-Mitte,2039,16.8571
Schwamendingen-Mitte,2040,16.8735
Schwamendingen-Mitte,2041,16.8899
Schwamendingen-Mitte,2042,16.9062
Schwamendingen-Mitte,2043,16.9226
Schwamendingen-Mitte,2044,16.939
Schwamendingen-Mitte,2045,16.9553
Schwamendingen-Mitte,2046,16.9717
Schwamendingen-Mitte,2047,16.9881
Schwamendingen-Mitte,2048,17.0044
Schwamendingen-Mitte,2049,17.0208
Schwamendingen-Mitte,2050,17.0372
Hirzenbach,2021,15.1931
Hirzenbach,2022,15.2433
Hirzenbach,2023,15.2935
Hirzenbach,2024,15.3437
Hirzenbach,2025,15.394
Hirzenbach,2026,15.4442
Hirzenbach,2027,15.4944
Hirzenbach,2028,15.5447
Hirzenbach,2029,15.5949
Hirzenbach,2030,15.6451
Hirzenbach,2031,15.6954
Hirzenbach,2032,15.7456
Hirzenbach,2033,15.7958
Hirzenbach,2034,15.846
Hirzenbach,2035,15.8963
Hirzenbach,2036,15.9465
Hirzenbach,2037,15.9967
Hirzenbach,2038,16.047
Hirzenbach,2039,16.0972
Hirzenbach,2040,16.1474
Hirzenbach,2041,16.1977
Hirzenbach,2042,16.2479
Hirzenbach,2043,16.2981
Hirzenbach,2044,16.3484
Hirzenbach,2045,16.3986
Hirzenbach,2046,16.4488
Hirzenbach,2047,16.499
Hirzenbach,2048,16.5493
Hirzenbach,2049,16.5995
Hirzenbach,2050,16.6497
