district,year,owner,spa_dyw
Alt-Wiedikon,2025,private housing,42.2892
Alt-Wiedikon,2026,cooperative housing,36.3184
Alt-Wiedikon,2026,private housing,42.2469
Alt-Wiedikon,2027,cooperative housing,36.2737
Alt-Wiedikon,2027,private housing,42.2047
Alt-Wiedikon,2028,cooperative housing,36.229
Alt-Wiedikon,2028,private housing,42.1624
Alt-Wiedikon,2029,cooperative housing,36.1843
Alt-Wiedikon,2029,private housing,42.1201
Alt-Wiedikon,2030,cooperative housing,36.1396
Alt-Wiedikon,2030,private housing,42.0779
Alt-Wiedikon,2031,cooperative housing,36.0949
Alt-Wiedikon,2031,private housing,42.0356
Alt-Wiedikon,2032,cooperative housing,36.0502
Alt-Wiedikon,2032,private housing,41.9933
Alt-Wiedikon,2033,cooperative housing,36.0056
Alt-Wiedikon,2033,private housing,41.9511
Alt-Wiedikon,2034,cooperative housing,35.9609
Alt-Wiedikon,2034,private housing,41.9088
Alt-Wiedikon,2035,cooperative housing,35.9162
Alt-Wiedikon,2035,private housing,41.8666
Alt-Wiedikon,2036,cooperative housing,35.8715
Alt-Wiedikon,2036,private housing,41.8243
Alt-Wiedikon,2037,cooperative housing,35.8268
Alt-Wiedikon,2037,private housing,41.782
Alt-Wiedikon,2038,cooperative housing,35.7821
Alt-Wiedikon,2038,private housing,41.7398
Alt-Wiedikon,2039,cooperative housing,35.7374
Alt-Wiedikon,2039,private housing,41.6975
Alt-Wiedikon,2040,cooperative housing,35.6927
Alt-Wiedikon,2040,private housing,41.6552
Alt-Wiedikon,2041,cooperative housing,35.6481
Alt-Wiedikon,2041,private housing,41.613
Alt-Wiedikon,2042,cooperative housing,35.6034
Alt-Wiedikon,2042,private housing,41.5707
Alt-Wiedikon,2043,cooperative housing,35.5587
Alt-Wiedikon,2043,private housing,41.5284
Alt-Wiedikon,2044,cooperative housing,35.514
Alt-Wiedikon,2044,private housing,41.4862
Alt-Wiedikon,2045,cooperative housing,35.4693
Alt-Wiedikon,2045,private housing,41.4439
Alt-Wiedikon,2046,cooperative housing,35.4246
Alt-Wiedikon,2046,private housing,41.4016
Alt-Wiedikon,2047,cooperative housing,35.3799
Alt-Wiedikon,2047,private housing,41.3594
Alt-Wiedikon,2048,cooperative housing,35.3352
Alt-Wiedikon,2048,private housing,41.3171
Alt-Wiedikon,2049,cooperative housing,35.2906
Alt-Wiedikon,2049,private housing,41.2748
Alt-Wiedikon,2050,cooperative housing,35.2459
Alt-Wiedikon,2050,private housing,41.2326
Friesenberg,2021,cooperative housing,29.6011
Friesenberg,2021,private housing,43.1601
Friesenberg,2022,cooperative housing,29.6173
Friesenberg,2022,private housing,43.1782
Friesenberg,2023,cooperative housing,29.6335
Friesenberg,2023,private housing,43.1964
Friesenberg,2024,cooperative housing,29.6497
Friesenberg,2024,private housing,43.2145
Friesenberg,2025,cooperative housing,29.6659
Friesenberg,2025,private housing,43.2327
Friesenberg,2026,cooperative housing,29.6821
Friesenberg,2026,private housing,43.2508
Friesenberg,2027,cooperative housing,29.6983
Friesenberg,2027,private housing,43.2689
Friesenberg,2028,cooperative housing,29.7145
Friesenberg,2028,private housing,43.2871
Friesenberg,2029,cooperative housing,29.7307
Friesenberg,2029,private housing,43.3052
Friesenberg,2030,cooperative housing,29.7469
Friesenberg,2030,private housing,43.3233
Friesenberg,2031,cooperative housing,29.7631
Friesenberg,2031,private housing,43.3415
Friesenberg,2032,cooperative housing,29.7793
Friesenberg,2032,private housing,43.3596
Friesenberg,2033,cooperative housing,29.7955
Friesenberg,2033,private housing,43.3778
Friesenberg,2034,cooperative housing,29.8117
Friesenberg,2034,private housing,43.3959
Friesenberg,2035,cooperative housing,29.8279
Friesenberg,2035,private housing,43.414
Friesenberg,2036,cooperative housing,29.8441
Friesenberg,2036,private housing,43.4322
Friesenberg,2037,cooperative housing,29.8603
Friesenberg,2037,private housing,43.4503
Friesenberg,2038,cooperative housing,29.8765
Friesenberg,2038,private housing,43.4684
Friesenberg,2039,cooperative housing,29.8927
Friesenberg,2039,private housing,43.4866
Friesenberg,2040,cooperative housing,29.9089
Friesenberg,2040,private housing,43.5047
Friesenberg,2041,cooperative housing,29.9251
Friesenberg,2041,private housing,43.5229
Friesenberg,2042,cooperative housing,29.9413
Friesenberg,2042,private housing,43.541
Friesenberg,2043,cooperative housing,29.9575
Friesenberg,2043,private housing,43.5591
Friesenberg,2044,cooperative housing,29.9737
Friesenberg,2044,private housing,43.5773
Friesenberg,2045,cooperative housing,29.9899
Friesenberg,2045,private housing,43.5954
Friesenberg,2046,cooperative housing,30.0061
Friesenberg,2046,private housing,43.6135
Friesenberg,2047,cooperative housing,30.0223
Friesenberg,2047,private housing,43.6317
Friesenberg,2048,cooperative housing,30.0385
Friesenberg,2048,private housing,43.6498
Friesenberg,2049,cooperative housing,30.0547
Friesenberg,2049,private housing,43.668
Friesenberg,2050,cooperative housing,30.0709
Friesenberg,2050,private housing,43.6861
Sihlfeld,2021,cooperative housing,35.065
Sihlfeld,2021,private housing,39.776
Sihlfeld,2022,cooperative housing,35.0594
Sihlfeld,2022,private housing,39.7863
Sihlfeld,2023,cooperative housing,35.0538
Sihlfeld,2023,private housing,39.7966
Sihlfeld,2024,cooperative housing,35.0482
Sihlfeld,2024,private housing,39.8069
Sihlfeld,2025,cooperative housing,35.0426
Sihlfeld,2025,private housing,39.8172
Sihlfeld,2026,cooperative housing,35.037
Sihlfeld,2026,private housing,39.8275
Sihlfeld,2027,cooperative housing,35.0314
Sihlfeld,2027,private housing,39.8377
Sihlfeld,2028,cooperative housing,35.0258
Sihlfeld,2028,private housing,39.848
Sihlfeld,2029,cooperative housing,35.0202
Sihlfeld,2029,private housing,39.8583
Sihlfeld,2030,cooperative housing,35.0146
Sihlfeld,2030,private housing,39.8686
Sihlfeld,2031,cooperative housing,35.009
Sihlfeld,2031,private housing,39.8789
Sihlfeld,2032,cooperative housing,35.0034
Sihlfeld,2032,private housing,39.8892
Sihlfeld,2033,cooperative housing,34.9978
Sihlfeld,2033,private housing,39.8995
Sihlfeld,2034,cooperative housing,34.9922
Sihlfeld,2034,private housing,39.9098
Sihlfeld,2035,cooperative housing,34.9866
Sihlfeld,2035,private housing,39.92
Sihlfeld,2036,cooperative housing,34.981
Sihlfeld,2036,private housing,39.9303
Sihlfeld,2037,cooperative housing,34.9754
Sihlfeld,2037,private housing,39.9406
Sihlfeld,2038,cooperative housing,34.9698
Sihlfeld,2038,private housing,39.9509
Sihlfeld,2039,cooperative housing,34.9642
Sihlfeld,2039,private housing,39.9612
Sihlfeld,2040,cooperative housing,34.9586
Sihlfeld,2040,private housing,39.9715
Sihlfeld,2041,cooperative housing,34.953
Sihlfeld,2041,private housing,39.9818
Sihlfeld,2042,cooperative housing,34.9474
Sihlfeld,2042,private housing,39.9921
Sihlfeld,2043,cooperative housing,34.9418
Sihlfeld,2043,private housing,40.0023
Sihlfeld,2044,cooperative housing,34.9362
Sihlfeld,2044,private housing,40.0126
Sihlfeld,2045,cooperative housing,34.9306
Sihlfeld,2045,private housing,40.0229
Sihlfeld,2046,cooperative housing,34.925
Sihlfeld,2046,private housing,40.0332
Sihlfeld,2047,cooperative housing,34.9194
Sihlfeld,2047,private housing,40.0435
Sihlfeld,2048,cooperative housing,34.9138
Sihlfeld,2048,private housing,40.0538
Sihlfeld,2049,cooperative housing,34.9082
Sihlfeld,2049,private housing,40.0641
Sihlfeld,2050,cooperative housing,34.9026
Sihlfeld,2050,private housing,40.0744
Werd,2021,cooperative housing,34.0824
Werd,2021,private housing,38.6477
Werd,2022,cooperative housing,34.0864
Werd,2022,private housing,38.6657
Werd,2023,cooperative housing,34.0904
Werd,2023,private housing,38.6836
Werd,2024,cooperative housing,34.0944
Werd,2024,private housing,38.7016
Werd,2025,cooperative housing,34.0984
Werd,2025,private housing,38.7196
Werd,2026,cooperative housing,34.1024
Werd,2026,private housing,38.7376
Werd,2027,cooperative housing,34.1064
Werd,2027,private housing,38.7555
Werd,2028,cooperative housing,34.1105
Werd,2028,private housing,38.7735
Werd,2029,cooperative housing,34.1145
Werd,2029,private housing,38.7915
Werd,2030,cooperative housing,34.1185
Werd,2030,private housing,38.8095
Werd,2031,cooperative housing,34.1225
Werd,2031,private housing,38.8275
Werd,2032,cooperative housing,34.1265
Werd,2032,private housing,38.8454
Werd,2033,cooperative housing,34.1305
Werd,2033,private housing,38.8634
Werd,2034,cooperative housing,34.1345
Werd,2034,private housing,38.8814
Werd,2035,cooperative housing,34.1385
Werd,2035,private housing,38.8994
Werd,2036,cooperative housing,34.1425
Werd,2036,private housing,38.9173
Werd,2037,cooperative housing,34.1465
Werd,2037,private housing,38.9353
Werd,2038,cooperative housing,34.1505
Werd,2038,private housing,38.9533
Werd,2039,cooperative housing,34.1545
Werd,2039,private housing,38.9713
Werd,2040,cooperative housing,34.1585
Werd,2040,private housing,38.9892
Werd,2041,cooperative housing,34.1625
Werd,2041,private housing,39.0072
Werd,2042,cooperative housing,34.1665
Werd,2042,private housing,39.0252
Werd,2043,cooperative housing,34.1705
Werd,2043,private housing,39.0432
Werd,2044,cooperative housing,34.1745
Werd,2044,private housing,39.0612
Werd,2045,cooperative housing,34.1785
Werd,2045,private housing,39.0791
Werd,2046,cooperative housing,34.1825
Werd,2046,private housing,39.0971
Werd,2047,cooperative housing,34.1865
Werd,2047,private housing,39.1151
Werd,2048,cooperative housing,34.1906
Werd,2048,private housing,39.1331
Werd,2049,cooperative housing,34.1946
Werd,2049,private housing,39.151
Werd,2050,cooperative housing,34.1986
Werd,2050,private housing,39.169
Langstrasse,2021,cooperative housing,36.0705
Langstrasse,2021,private housing,40.2366
Langstrasse,2022,cooperative housing,36.0372
Langstrasse,2022,private housing,40.3166
Langstrasse,2023,cooperative housing,36.0039
Langstrasse,2023,private housing,40.3966
Langstrasse,2024,cooperative housing,35.9706
Langstrasse,2024,private housing,40.4766
Langstrasse,2025,cooperative housing,35.9373
Langstrasse,2025,private housing,40.5566
Langstrasse,2026,cooperative housing,35.904
Langstrasse,2026,private housing,40.6366
Langstrasse,2027,cooperative housing,35.8707
Langstrasse,2027,private housing,40.7166
