district,year,sex,origin,prop
Wollishofen,2023,female,Swiss,25.8678
Wollishofen,2023,female,foreign,22.5874
Wollishofen,2024,male,Swiss,24.1867
Wollishofen,2024,male,foreign,27.3788
Wollishofen,2024,female,Swiss,25.8159
Wollishofen,2024,female,foreign,22.6186
Wollishofen,2025,male,Swiss,24.1372
Wollishofen,2025,male,foreign,27.4491
Wollishofen,2025,female,Swiss,25.764
Wollishofen,2025,female,foreign,22.6498
Wollishofen,2026,male,Swiss,24.0877
Wollishofen,2026,male,foreign,27.5194
Wollishofen,2026,female,Swiss,25.712
Wollishofen,2026,female,foreign,22.6809
Wollishofen,2027,male,Swiss,24.0381
Wollishofen,2027,male,foreign,27.5896
Wollishofen,2027,female,Swiss,25.6601
Wollishofen,2027,female,foreign,22.7121
Wollishofen,2028,male,Swiss,23.9886
Wollishofen,2028,male,foreign,27.6599
Wollishofen,2028,female,Swiss,25.6082
Wollishofen,2028,female,foreign,22.7433
Wollishofen,2029,male,Swiss,23.9391
Wollishofen,2029,male,foreign,27.7302
Wollishofen,2029,female,Swiss,25.5563
Wollishofen,2029,female,foreign,22.7745
Wollishofen,2030,male,Swiss,23.8896
Wollishofen,2030,male,foreign,27.8005
Wollishofen,2030,female,Swiss,25.5043
Wollishofen,2030,female,foreign,22.8057
Wollishofen,2031,male,Swiss,23.84
Wollishofen,2031,male,foreign,27.8707
Wollishofen,2031,female,Swiss,25.4524
Wollishofen,2031,female,foreign,22.8368
Wollishofen,2032,male,Swiss,23.7905
Wollishofen,2032,male,foreign,27.941
Wollishofen,2032,female,Swiss,25.4005
Wollishofen,2032,female,foreign,22.868
Wollishofen,2033,male,Swiss,23.741
Wollishofen,2033,male,foreign,28.0113
Wollishofen,2033,female,Swiss,25.3486
Wollishofen,2033,female,foreign,22.8992
Wollishofen,2034,male,Swiss,23.6914
Wollishofen,2034,male,foreign,28.0816
Wollishofen,2034,female,Swiss,25.2966
Wollishofen,2034,female,foreign,22.9304
Wollishofen,2035,male,Swiss,23.6419
Wollishofen,2035,male,foreign,28.1518
Wollishofen,2035,female,Swiss,25.2447
Wollishofen,2035,female,foreign,22.9616
Wollishofen,2036,male,Swiss,23.5924
Wollishofen,2036,male,foreign,28.2221
Wollishofen,2036,female,Swiss,25.1928
Wollishofen,2036,female,foreign,22.9927
Wollishofen,2037,male,Swiss,23.5428
Wollishofen,2037,male,foreign,28.2924
Wollishofen,2037,female,Swiss,25.1409
Wollishofen,2037,female,foreign,23.0239
Wollishofen,2038,male,Swiss,23.4933
Wollishofen,2038,male,foreign,28.3627
Wollishofen,2038,female,Swiss,25.0889
Wollishofen,2038,female,foreign,23.0551
Wollishofen,2039,male,Swiss,23.4438
Wollishofen,2039,male,foreign,28.4329
Wollishofen,2039,female,Swiss,25.037
Wollishofen,2039,female,foreign,23.0863
Wollishofen,2040,male,Swiss,23.3943
Wollishofen,2040,male,foreign,28.5032
Wollishofen,2040,female,Swiss,24.9851
Wollishofen,2040,female,foreign,23.1175
Wollishofen,2041,male,Swiss,23.3447
Wollishofen,2041,male,foreign,28.5735
Wollishofen,2041,female,Swiss,24.9332
Wollishofen,2041,female,foreign,23.1486
Wollishofen,2042,male,Swiss,23.2952
Wollishofen,2042,male,foreign,28.6438
Wollishofen,2042,female,Swiss,24.8812
Wollishofen,2042,female,foreign,23.1798
Wollishofen,2043,male,Swiss,23.2457
Wollishofen,2043,male,foreign,28.714
Wollishofen,2043,female,Swiss,24.8293
Wollishofen,2043,female,foreign,23.211
Wollishofen,2044,male,Swiss,23.1961
Wollishofen,2044,male,foreign,28.784300000000002
Wollishofen,2044,female,Swiss,24.7774
Wollishofen,2044,female,foreign,23.2422
Wollishofen,2045,male,Swiss,23.1466
Wollishofen,2045,male,foreign,28.8546
Wollishofen,2045,female,Swiss,24.7255
Wollishofen,2045,female,foreign,23.2734
Wollishofen,2046,male,Swiss,23.0971
Wollishofen,2046,male,foreign,28.9249
Wollishofen,2046,female,Swiss,24.6735
Wollishofen,2046,female,foreign,23.3045
Wollishofen,2047,male,Swiss,23.0475
Wollishofen,2047,male,foreign,28.9951
Wollishofen,2047,female,Swiss,24.6216
Wollishofen,2047,female,foreign,23.3357
Wollishofen,2048,male,Swiss,22.998
Wollishofen,2048,male,foreign,29.0654
Wollishofen,2048,female,Swiss,24.5697
Wollishofen,2048,female,foreign,23.3669
Wollishofen,2049,male,Swiss,22.9485
Wollishofen,2049,male,foreign,29.1357
Wollishofen,2049,female,Swiss,24.5178
Wollishofen,2049,female,foreign,23.3981
Wollishofen,2050,male,Swiss,22.899
Wollishofen,2050,male,foreign,29.2059
Wollishofen,2050,female,Swiss,24.4658
Wollishofen,2050,female,foreign,23.4293
Leimbach,2021,male,Swiss,25.1055
Leimbach,2021,male,foreign,27.351
Leimbach,2021,female,Swiss,26.8121
Leimbach,2021,female,foreign,20.7313
Leimbach,2022,male,Swiss,24.9352
Leimbach,2022,male,foreign,27.5064
Leimbach,2022,female,Swiss,26.7001
Leimbach,2022,female,foreign,20.8583
Leimbach,2023,male,Swiss,24.7648
Leimbach,2023,male,foreign,27.6618
Leimbach,2023,female,Swiss,26.5881
Leimbach,2023,female,foreign,20.9853
Leimbach,2024,male,Swiss,24.5944
Leimbach,2024,male,foreign,27.8171
Leimbach,2024,female,Swiss,26.4761
Leimbach,2024,female,foreign,21.1123
Leimbach,2025,male,Swiss,24.4241
Leimbach,2025,male,foreign,27.9725
Leimbach,2025,female,Swiss,26.3641
Leimbach,2025,female,foreign,21.2393
Leimbach,2026,male,Swiss,24.2537
Leimbach,2026,male,foreign,28.1279
Leimbach,2026,female,Swiss,26.2521
Leimbach,2026,female,foreign,21.3663
Leimbach,2027,male,Swiss,24.0833
Leimbach,2027,male,foreign,28.2833
Leimbach,2027,female,Swiss,26.1401
Leimbach,2027,female,foreign,21.4933
Leimbach,2028,male,Swiss,23.913
Leimbach,2028,male,foreign,28.4387
Leimbach,2028,female,Swiss,26.0281
Leimbach,2028,female,foreign,21.6203
Leimbach,2029,male,Swiss,23.7426
Leimbach,2029,male,foreign,28.594
Leimbach,2029,female,Swiss,25.9161
Leimbach,2029,female,foreign,21.7473
Leimbach,2030,male,Swiss,23.5722
Leimbach,2030,male,foreign,28.7494
Leimbach,2030,female,Swiss,25.8041
Leimbach,2030,female,foreign,21.8743
Leimbach,2031,male,Swiss,23.4019
Leimbach,2031,male,foreign,28.9048
Leimbach,2031,female,Swiss,25.6921
Leimbach,2031,female,foreign,22.0013
Leimbach,2032,male,Swiss,23.2315
Leimbach,2032,male,foreign,29.0602
Leimbach,2032,female,Swiss,25.5801
Leimbach,2032,female,foreign,22.1282
Leimbach,2033,male,Swiss,23.0611
Leimbach,2033,male,foreign,29.2155
Leimbach,2033,female,Swiss,25.4681
Leimbach,2033,female,foreign,22.2552
Leimbach,2034,male,Swiss,22.8908
Leimbach,2034,male,foreign,29.3709
Leimbach,2034,female,Swiss,25.3561
Leimbach,2034,female,foreign,22.3822
