district,year,sex,origin,prop
Wollishofen,2023,female,Swiss,24.8756
Wollishofen,2023,female,foreign,24.1553
Wollishofen,2024,male,Swiss,23.0945
Wollishofen,2024,male,foreign,27.8837
Wollishofen,2024,female,Swiss,24.8472
Wollishofen,2024,female,foreign,24.1745
Wollishofen,2025,male,Swiss,23.0832
Wollishofen,2025,male,foreign,27.9042
Wollishofen,2025,female,Swiss,24.8188
Wollishofen,2025,female,foreign,24.1938
Wollishofen,2026,male,Swiss,23.0718
Wollishofen,2026,male,foreign,27.9246
Wollishofen,2026,female,Swiss,24.7905
Wollishofen,2026,female,foreign,24.2131
Wollishofen,2027,male,Swiss,23.0604
Wollishofen,2027,male,foreign,27.9451
Wollishofen,2027,female,Swiss,24.7621
Wollishofen,2027,female,foreign,24.2324
Wollishofen,2028,male,Swiss,23.0491
Wollishofen,2028,male,foreign,27.9655
Wollishofen,2028,female,Swiss,24.7338
Wollishofen,2028,female,foreign,24.2516
Wollishofen,2029,male,Swiss,23.0377
Wollishofen,2029,male,foreign,27.986
Wollishofen,2029,female,Swiss,24.7054
Wollishofen,2029,female,foreign,24.2709
Wollishofen,2030,male,Swiss,23.0264
Wollishofen,2030,male,foreign,28.0064
Wollishofen,2030,female,Swiss,24.677
Wollishofen,2030,female,foreign,24.2902
Wollishofen,2031,male,Swiss,23.015
Wollishofen,2031,male,foreign,28.0269
Wollishofen,2031,female,Swiss,24.6487
Wollishofen,2031,female,foreign,24.3095
Wollishofen,2032,male,Swiss,23.0036
Wollishofen,2032,male,foreign,28.0473
Wollishofen,2032,female,Swiss,24.6203
Wollishofen,2032,female,foreign,24.3287
Wollishofen,2033,male,Swiss,22.9923
Wollishofen,2033,male,foreign,28.0677
Wollishofen,2033,female,Swiss,24.592
Wollishofen,2033,female,foreign,24.348
Wollishofen,2034,male,Swiss,22.9809
Wollishofen,2034,male,foreign,28.0882
Wollishofen,2034,female,Swiss,24.5636
Wollishofen,2034,female,foreign,24.3673
Wollishofen,2035,male,Swiss,22.9696
Wollishofen,2035,male,foreign,28.1086
Wollishofen,2035,female,Swiss,24.5352
Wollishofen,2035,female,foreign,24.3866
Wollishofen,2036,male,Swiss,22.9582
Wollishofen,2036,male,foreign,28.1291
Wollishofen,2036,female,Swiss,24.5069
Wollishofen,2036,female,foreign,24.4058
Wollishofen,2037,male,Swiss,22.9469
Wollishofen,2037,male,foreign,28.1495
Wollishofen,2037,female,Swiss,24.4785
Wollishofen,2037,female,foreign,24.4251
Wollishofen,2038,male,Swiss,22.9355
Wollishofen,2038,male,foreign,28.17
Wollishofen,2038,female,Swiss,24.4502
Wollishofen,2038,female,foreign,24.4444
Wollishofen,2039,male,Swiss,22.9241
Wollishofen,2039,male,foreign,28.1904
Wollishofen,2039,female,Swiss,24.4218
Wollishofen,2039,female,foreign,24.4636
Wollishofen,2040,male,Swiss,22.9128
Wollishofen,2040,male,foreign,28.2109
Wollishofen,2040,female,Swiss,24.3934
Wollishofen,2040,female,foreign,24.4829
Wollishofen,2041,male,Swiss,22.9014
Wollishofen,2041,male,foreign,28.2313
Wollishofen,2041,female,Swiss,24.3651
Wollishofen,2041,female,foreign,24.5022
Wollishofen,2042,male,Swiss,22.8901
Wollishofen,2042,male,foreign,28.2518
Wollishofen,2042,female,Swiss,24.3367
Wollishofen,2042,female,foreign,24.5215
Wollishofen,2043,male,Swiss,22.8787
Wollishofen,2043,male,foreign,28.2722
Wollishofen,2043,female,Swiss,24.3084
Wollishofen,2043,female,foreign,24.5407
Wollishofen,2044,male,Swiss,22.8673
Wollishofen,2044,male,foreign,28.2926
Wollishofen,2044,female,Swiss,24.28
Wollishofen,2044,female,foreign,24.56
Wollishofen,2045,male,Swiss,22.856
Wollishofen,2045,male,foreign,28.3131
Wollishofen,2045,female,Swiss,24.2516
Wollishofen,2045,female,foreign,24.5793
Wollishofen,2046,male,Swiss,22.8446
Wollishofen,2046,male,foreign,28.3335
Wollishofen,2046,female,Swiss,24.2233
Wollishofen,2046,female,foreign,24.5986
Wollishofen,2047,male,Swiss,22.8333
Wollishofen,2047,male,foreign,28.354
Wollishofen,2047,female,Swiss,24.1949
Wollishofen,2047,female,foreign,24.6178
Wollishofen,2048,male,Swiss,22.8219
Wollishofen,2048,male,foreign,28.3744
Wollishofen,2048,female,Swiss,24.1666
Wollishofen,2048,female,foreign,24.6371
Wollishofen,2049,male,Swiss,22.8105
Wollishofen,2049,male,foreign,28.3949
Wollishofen,2049,female,Swiss,24.1382
Wollishofen,2049,female,foreign,24.6564
Wollishofen,2050,male,Swiss,22.7992
Wollishofen,2050,male,foreign,28.4153
Wollishofen,2050,female,Swiss,24.1098
Wollishofen,2050,female,foreign,24.6757
Leimbach,2021,male,Swiss,20.1508
Leimbach,2021,male,foreign,32.5167
Leimbach,2021,female,Swiss,21.3383
Leimbach,2021,female,foreign,25.9942
Leimbach,2022,male,Swiss,20.0018
Leimbach,2022,male,foreign,32.6792
Leimbach,2022,female,Swiss,21.2237
Leimbach,2022,female,foreign,26.0953
Leimbach,2023,male,Swiss,19.8529
Leimbach,2023,male,foreign,32.8417
Leimbach,2023,female,Swiss,21.109
Leimbach,2023,female,foreign,26.1963
Leimbach,2024,male,Swiss,19.704
Leimbach,2024,male,foreign,33.0042
Leimbach,2024,female,Swiss,20.9943
Leimbach,2024,female,foreign,26.2974
Leimbach,2025,male,Swiss,19.5551
Leimbach,2025,male,foreign,33.1667
Leimbach,2025,female,Swiss,20.8797
Leimbach,2025,female,foreign,26.3984
Leimbach,2026,male,Swiss,19.4062
Leimbach,2026,male,foreign,33.3292
Leimbach,2026,female,Swiss,20.765
Leimbach,2026,female,foreign,26.4995
Leimbach,2027,male,Swiss,19.2573
Leimbach,2027,male,foreign,33.4918
Leimbach,2027,female,Swiss,20.6504
Leimbach,2027,female,foreign,26.6006
Leimbach,2028,male,Swiss,19.1084
Leimbach,2028,male,foreign,33.6543
Leimbach,2028,female,Swiss,20.5357
Leimbach,2028,female,foreign,26.7016
Leimbach,2029,male,Swiss,18.9595
Leimbach,2029,male,foreign,33.8168
Leimbach,2029,female,Swiss,20.421
Leimbach,2029,female,foreign,26.8027
Leimbach,2030,male,Swiss,18.8106
Leimbach,2030,male,foreign,33.9793
Leimbach,2030,female,Swiss,20.3064
Leimbach,2030,female,foreign,26.9038
Leimbach,2031,male,Swiss,18.6617
Leimbach,2031,male,foreign,34.1418
Leimbach,2031,female,Swiss,20.1917
Leimbach,2031,female,foreign,27.0048
Leimbach,2032,male,Swiss,18.5128
Leimbach,2032,male,foreign,34.3043
Leimbach,2032,female,Swiss,20.077
Leimbach,2032,female,foreign,27.1059
Leimbach,2033,male,Swiss,18.3639
Leimbach,2033,male,foreign,34.4668
Leimbach,2033,female,Swiss,19.9624
Leimbach,2033,female,foreign,27.2069
Leimbach,2034,male,Swiss,18.215
Leimbach,2034,male,foreign,34.6293
Leimbach,2034,female,Swiss,19.8477
Leimbach,2034,female,foreign,27.308
Leimbach,2035,male,Swiss,18.0661
Leimbach,2035,male,foreign,34.7918
Leimbach,2035,female,Swiss,19.7331
Leimbach,2035,female,foreign,27.4091
Leimbach,2036,male,Swiss,17.9172
Leimbach,2036,male,foreign,34.9543
Leimbach,2036,female,Swiss,19.6184
Leimbach,2036,female,foreign,27.5101
Leimbach,2037,male,Swiss,17.7683
Leimbach,2037,male,foreign,35.1168
Leimbach,2037,female,Swiss,19.5037
Leimbach,2037,female,foreign,27.6112
Leimbach,2038,male,Swiss,17.6263
Leimbach,2038,male,foreign,35.2763
Leimbach,2038,female,Swiss,19.3874
Leimbach,2038,female,foreign,27.7099
Leimbach,2039,male,Swiss,17.4938
Leimbach,2039,male,foreign,35.4318
Leimbach,2039,female,Swiss,19.2689
Leimbach,2039,female,foreign,27.8055
Leimbach,2040,male,Swiss,17.3708
Leimbach,2040,male,foreign,35.5831
Leimbach,2040,female,Swiss,19.1483
Leimbach,2040,female,foreign,27.8978
Leimbach,2041,male,Swiss,17.2574
Leimbach,2041,male,foreign,35.7302
Leimbach,2041,female,Swiss,19.0256
Leimbach,2041,female,foreign,27.9868
Leimbach,2042,male,Swiss,17.1535
Leimbach,2042,male,foreign,35.8732
Leimbach,2042,female,Swiss,18.9008
Leimbach,2042,female,foreign,28.0725
Leimbach,2043,male,Swiss,17.0592
Leimbach,2043,male,foreign,36.0118
Leimbach,2043,female,Swiss,18.774
Leimbach,2043,female,foreign,28.155
Leimbach,2044,male,Swiss,16.9746
Leimbach,2044,male,foreign,36.1461
Leimbach,2044,female,Swiss,18.6452
Leimbach,2044,female,foreign,28.2341
Leimbach,2045,male,Swiss,16.8995
Leimbach,2045,male,foreign,36.2761
Leimbach,2045,female,Swiss,18.5146
Leimbach,2045,female,foreign,28.3098
Leimbach,2046,male,Swiss,16.8341
Leimbach,2046,male,foreign,36.4017
Leimbach,2046,female,Swiss,18.382
Leimbach,2046,female,foreign,28.3822
Leimbach,2047,male,Swiss,16.7782
Leimbach,2047,male,foreign,36.5229
Leimbach,2047,female,Swiss,18.2477
Leimbach,2047,female,foreign,28.4512
Leimbach,2048,male,Swiss,16.7315
Leimbach,2048,male,foreign,36.6363
Leimbach,2048,female,Swiss,18.1161
Leimbach,2048,female,foreign,28.516
Leimbach,2049,male,Swiss,16.695
Leimbach,2049,male,foreign,36.7343
Leimbach,2049,female,Swiss,17.9923
Leimbach,2049,female,foreign,28.5784
Leimbach,2050,male,Swiss,16.6686
Leimbach,2050,male,foreign,36.8168
Leimbach,2050,female,Swiss,17.8761
Leimbach,2050,female,foreign,28.6385
Enge,2021,male,Swiss,19.5056
Enge,2021,male,foreign,32.6085
Enge,2021,female,Swiss,19.697
Enge,2021,female,foreign,28.1888
Enge,2022,male,Swiss,19.4379
Enge,2022,male,foreign,32.6567
Enge,2022,female,Swiss,19.6395
Enge,2022,female,foreign,28.2659
Enge,2023,male,Swiss,19.3702
Enge,2023,male,foreign,32.7049
Enge,2023,female,Swiss,19.5819
Enge,2023,female,foreign,28.3431
Enge,2024,male,Swiss,19.3024
Enge,2024,male,foreign,32.753
Enge,2024,female,Swiss,19.5244
Enge,2024,female,foreign,28.4202
Enge,2025,male,Swiss,19.2347
Enge,2025,male,foreign,32.8012
Enge,2025,female,Swiss,19.4668
Enge,2025,female,foreign,28.4973
Enge,2026,male,Swiss,19.167
Enge,2026,male,foreign,32.8494
Enge,2026,female,Swiss,19.4092
Enge,2026,female,foreign,28.5744
Enge,2027,male,Swiss,19.0993
Enge,2027,male,foreign,32.8976
Enge,2027,female,Swiss,19.3517
Enge,2027,female,foreign,28.6515
Enge,2028,male,Swiss,19.0316
Enge,2028,male,foreign,32.9458
Enge,2028,female,Swiss,19.2941
Enge,2028,female,foreign,28.7286
