district,year,owner,indicator,apartments
Unterstrass,2025,private housing,new,156.98873034415175
Unterstrass,2025,private housing,removed,0.15761501352807836
Unterstrass,2026,cooperative housing,new,0.062180273572061365
Unterstrass,2026,cooperative housing,removed,0.027240881755379264
Unterstrass,2026,private housing,new,6.388970928077903
Unterstrass,2026,private housing,removed,0.0032899615646593315
Unterstrass,2027,cooperative housing,new,0
Unterstrass,2027,cooperative housing,removed,0
Unterstrass,2027,private housing,new,0.25981164819403463
Unterstrass,2027,private housing,removed,0
Unterstrass,2028,cooperative housing,new,67.00730445904475
Unterstrass,2028,cooperative housing,removed,7.61446641580054
Unterstrass,2028,private housing,new,0
Unterstrass,2028,private housing,removed,0
Unterstrass,2029,cooperative housing,new,10.536038675455657
Unterstrass,2029,cooperative housing,removed,1.1972771222108702
Unterstrass,2029,private housing,new,0
Unterstrass,2029,private housing,removed,0
Unterstrass,2030,cooperative housing,new,1.656656865499585
Unterstrass,2030,cooperative housing,removed,0.1882564619885892
Unterstrass,2030,private housing,new,0
Unterstrass,2030,private housing,removed,0
Unterstrass,2031,cooperative housing,new,0
Unterstrass,2031,cooperative housing,removed,0
Unterstrass,2031,private housing,new,0
Unterstrass,2031,private housing,removed,0
Unterstrass,2032,cooperative housing,new,0
Unterstrass,2032,cooperative housing,removed,0
Unterstrass,2032,private housing,new,0
Unterstrass,2032,private housing,removed,0
Unterstrass,2033,cooperative housing,new,0
Unterstrass,2033,cooperative housing,removed,0
Unterstrass,2033,private housing,new,0
Unterstrass,2033,private housing,removed,0
Oberstrass,2021,cooperative housing,new,0
Oberstrass,2021,cooperative housing,removed,0
Oberstrass,2021,private housing,new,42.71028134421346
Oberstrass,2021,private housing,removed,1.9865247136843471
Oberstrass,2022,cooperative housing,new,0
Oberstrass,2022,cooperative housing,removed,0
Oberstrass,2022,private housing,new,29.97079850632415
Oberstrass,2022,private housing,removed,0.013385098233180086
Oberstrass,2023,cooperative housing,new,0
Oberstrass,2023,cooperative housing,removed,0
Oberstrass,2023,private housing,new,2.2824691730161035
Oberstrass,2023,private housing,removed,9.018808247273021e-5
Oberstrass,2024,cooperative housing,new,0
Oberstrass,2024,cooperative housing,removed,0
Oberstrass,2024,private housing,new,0.0359107703363786
Oberstrass,2024,private housing,removed,0
Oberstrass,2025,cooperative housing,new,0
Oberstrass,2025,cooperative housing,removed,0
Oberstrass,2025,private housing,new,53.72149523572847
Oberstrass,2025,private housing,removed,0
Oberstrass,2026,cooperative housing,new,0
Oberstrass,2026,cooperative housing,removed,0
Oberstrass,2026,private housing,new,2.1897845268301004
Oberstrass,2026,private housing,removed,0
Oberstrass,2027,cooperative housing,new,0
Oberstrass,2027,cooperative housing,removed,0
Oberstrass,2027,private housing,new,0.08926044355132479
Oberstrass,2027,private housing,removed,0
Oberstrass,2028,cooperative housing,new,0
Oberstrass,2028,cooperative housing,removed,0
Oberstrass,2028,private housing,new,0
Oberstrass,2028,private housing,removed,0
Oberstrass,2029,cooperative housing,new,0
Oberstrass,2029,cooperative housing,removed,0
Oberstrass,2029,private housing,new,0
Oberstrass,2029,private housing,removed,0
Oberstrass,2030,cooperative housing,new,0
Oberstrass,2030,cooperative housing,removed,0
Oberstrass,2030,private housing,new,0
Oberstrass,2030,private housing,removed,0
Oberstrass,2031,cooperative housing,new,0
Oberstrass,2031,cooperative housing,removed,0
Oberstrass,2031,private housing,new,0
Oberstrass,2031,private housing,removed,0
Oberstrass,2032,cooperative housing,new,0
Oberstrass,2032,cooperative housing,removed,0
Oberstrass,2032,private housing,new,0
Oberstrass,2032,private housing,removed,0
Oberstrass,2033,cooperative housing,new,0
Oberstrass,2033,cooperative housing,removed,0
Oberstrass,2033,private housing,new,0
Oberstrass,2033,private housing,removed,0
Fluntern,2021,cooperative housing,new,0
Fluntern,2021,cooperative housing,removed,0
Fluntern,2021,private housing,new,64.56205319474128
Fluntern,2021,private housing,removed,0
Fluntern,2022,cooperative housing,new,0
Fluntern,2022,cooperative housing,removed,0
Fluntern,2022,private housing,new,23.19199684488328
Fluntern,2022,private housing,removed,0.9894339631436927
Fluntern,2023,cooperative housing,new,0
Fluntern,2023,cooperative housing,removed,0
Fluntern,2023,private housing,new,81.8682482607411
Fluntern,2023,private housing,removed,10.828205361126276
Fluntern,2024,cooperative housing,new,0
Fluntern,2024,cooperative housing,removed,0
Fluntern,2024,private housing,new,11.0955428779154
Fluntern,2024,private housing,removed,1.1534155153097745
Fluntern,2025,cooperative housing,new,0
Fluntern,2025,cooperative housing,removed,0
Fluntern,2025,private housing,new,14.665120424380303
Fluntern,2025,private housing,removed,0.028287168107324345
Fluntern,2026,cooperative housing,new,0
Fluntern,2026,cooperative housing,removed,0
Fluntern,2026,private housing,new,0.5931293499588097
Fluntern,2026,private housing,removed,6.579923129318662e-4
Fluntern,2027,cooperative housing,new,0
Fluntern,2027,cooperative housing,removed,0
Fluntern,2027,private housing,new,0.023909047379819137
Fluntern,2027,private housing,removed,0
Fluntern,2028,cooperative housing,new,0
Fluntern,2028,cooperative housing,removed,0
Fluntern,2028,private housing,new,0
Fluntern,2028,private housing,removed,0
Fluntern,2029,cooperative housing,new,0
Fluntern,2029,cooperative housing,removed,0
Fluntern,2029,private housing,new,0
Fluntern,2029,private housing,removed,0
Fluntern,2030,cooperative housing,new,0
Fluntern,2030,cooperative housing,removed,0
Fluntern,2030,private housing,new,0
Fluntern,2030,private housing,removed,0
Fluntern,2031,cooperative housing,new,0
Fluntern,2031,cooperative housing,removed,0
Fluntern,2031,private housing,new,0
Fluntern,2031,private housing,removed,0
Fluntern,2032,cooperative housing,new,0
Fluntern,2032,cooperative housing,removed,0
Fluntern,2032,private housing,new,0
Fluntern,2032,private housing,removed,0
Fluntern,2033,cooperative housing,new,0
Fluntern,2033,cooperative housing,removed,0
Fluntern,2033,private housing,new,0
Fluntern,2033,private housing,removed,0
Hottingen,2021,cooperative housing,new,0
Hottingen,2021,cooperative housing,removed,0
Hottingen,2021,private housing,new,19.86524713684347
Hottingen,2021,private housing,removed,0
Hottingen,2022,cooperative housing,new,0
Hottingen,2022,cooperative housing,removed,0
Hottingen,2022,private housing,new,39.711209508079506
Hottingen,2022,private housing,removed,0
Hottingen,2023,cooperative housing,new,0
Hottingen,2023,cooperative housing,removed,0
Hottingen,2023,private housing,new,31.888941547051076
Hottingen,2023,private housing,removed,3.9337272037139677
Hottingen,2024,cooperative housing,new,0
Hottingen,2024,cooperative housing,removed,0
Hottingen,2024,private housing,new,0.5259585102675649
Hottingen,2024,private housing,removed,0.06519238406623547
Hottingen,2025,cooperative housing,new,0
Hottingen,2025,cooperative housing,removed,0
Hottingen,2025,private housing,new,6.723762676460696
Hottingen,2025,private housing,removed,0.0010804122197967704
Hottingen,2026,cooperative housing,new,0
Hottingen,2026,cooperative housing,removed,0
Hottingen,2026,private housing,new,0.27372306585376255
Hottingen,2026,private housing,removed,0
Hottingen,2027,cooperative housing,new,0
Hottingen,2027,cooperative housing,removed,0
Hottingen,2027,private housing,new,0.011157555443915598
Hottingen,2027,private housing,removed,0
Hottingen,2028,cooperative housing,new,0
Hottingen,2028,cooperative housing,removed,0
Hottingen,2028,private housing,new,0
Hottingen,2028,private housing,removed,0
Hottingen,2029,cooperative housing,new,0
Hottingen,2029,cooperative housing,removed,0
Hottingen,2029,private housing,new,0
Hottingen,2029,private housing,removed,0
Hottingen,2030,cooperative housing,new,0
Hottingen,2030,cooperative housing,removed,0
Hottingen,2030,private housing,new,0
Hottingen,2030,private housing,removed,0
Hottingen,2031,cooperative housing,new,0
Hottingen,2031,cooperative housing,removed,0
Hottingen,2031,private housing,new,0
Hottingen,2031,private housing,removed,0
Hottingen,2032,cooperative housing,new,0
Hottingen,2032,cooperative housing,removed,0
Hottingen,2032,private housing,new,0
Hottingen,2032,private housing,removed,0
Hottingen,2033,cooperative housing,new,0
Hottingen,2033,cooperative housing,removed,0
Hottingen,2033,private housing,new,0
Hottingen,2033,private housing,removed,0
Hirslanden,2021,cooperative housing,new,0
Hirslanden,2021,cooperative housing,removed,0
Hirslanden,2021,private housing,new,1.9865247136843471
Hirslanden,2021,private housing,removed,0
Hirslanden,2022,cooperative housing,new,0
Hirslanden,2022,cooperative housing,removed,0
Hirslanden,2022,private housing,new,109.84055500718307
Hirslanden,2022,private housing,removed,45.51396230460986
Hirslanden,2023,cooperative housing,new,0
Hirslanden,2023,cooperative housing,removed,0
Hirslanden,2023,private housing,new,25.74645136262281
Hirslanden,2023,private housing,removed,0.4809553419917997
Hirslanden,2024,cooperative housing,new,0
Hirslanden,2024,cooperative housing,removed,0
Hirslanden,2024,private housing,new,8.211924125609515
Hirslanden,2024,private housing,removed,3.901186246135073
Hirslanden,2025,cooperative housing,new,0
Hirslanden,2025,cooperative housing,removed,0
Hirslanden,2025,private housing,new,33.7848777459084
Hirslanden,2025,private housing,removed,0.1012641380115329
Hirslanden,2026,cooperative housing,new,0
Hirslanden,2026,cooperative housing,removed,0
Hirslanden,2026,private housing,new,1.3738792677722675
Hirslanden,2026,private housing,removed,0.002631969251727465
Hirslanden,2027,cooperative housing,new,0
Hirslanden,2027,cooperative housing,removed,0
Hirslanden,2027,private housing,new,0.05578777721957799
Hirslanden,2027,private housing,removed,0
Hirslanden,2028,cooperative housing,new,0
Hirslanden,2028,cooperative housing,removed,0
Hirslanden,2028,private housing,new,0
Hirslanden,2028,private housing,removed,0
Hirslanden,2029,cooperative housing,new,0
Hirslanden,2029,cooperative housing,removed,0
Hirslanden,2029,private housing,new,0
Hirslanden,2029,private housing,removed,0
Hirslanden,2030,cooperative housing,new,0
Hirslanden,2030,cooperative housing,removed,0
Hirslanden,2030,private housing,new,0
Hirslanden,2030,private housing,removed,0
Hirslanden,2031,cooperative housing,new,0
Hirslanden,2031,cooperative housing,removed,0
Hirslanden,2031,private housing,new,0
Hirslanden,2031,private housing,removed,0
Hirslanden,2032,cooperative housing,new,0
Hirslanden,2032,cooperative housing,removed,0
Hirslanden,2032,private housing,new,0
Hirslanden,2032,private housing,removed,0
Hirslanden,2033,cooperative housing,new,0
Hirslanden,2033,cooperative housing,removed,0
Hirslanden,2033,private housing,new,0
Hirslanden,2033,private housing,removed,0
Witikon,2021,cooperative housing,new,0
Witikon,2021,cooperative housing,removed,0
Witikon,2021,private housing,new,88.40034975895345
Witikon,2021,private housing,removed,0
Witikon,2022,cooperative housing,new,0
Witikon,2022,cooperative housing,removed,0
Witikon,2022,private housing,new,61.94054258628545
Witikon,2022,private housing,removed,5.936603778862157
Witikon,2023,cooperative housing,new,0
Witikon,2023,cooperative housing,removed,0
Witikon,2023,private housing,new,230.77529894353478
Witikon,2023,private housing,removed,26.713735110639323
Witikon,2024,cooperative housing,new,0
Witikon,2024,cooperative housing,removed,0
Witikon,2024,private housing,new,127.52190319075966
Witikon,2024,private housing,removed,58.883899708760495
Witikon,2025,cooperative housing,new,0
Witikon,2025,cooperative housing,removed,0
Witikon,2025,private housing,new,68.51092874697541
Witikon,2025,private housing,removed,1.5262818629621167
Witikon,2026,cooperative housing,new,0
Witikon,2026,cooperative housing,removed,0
Witikon,2026,private housing,new,331.38977169726786
Witikon,2026,private housing,removed,0.039479538775911975
Witikon,2027,cooperative housing,new,0
Witikon,2027,cooperative housing,removed,0
Witikon,2027,private housing,new,21.118099157020314
Witikon,2027,private housing,removed,0
Witikon,2028,cooperative housing,new,0
Witikon,2028,cooperative housing,removed,0
Witikon,2028,private housing,new,1.3431059192030514
Witikon,2028,private housing,removed,0
Witikon,2029,cooperative housing,new,0
Witikon,2029,cooperative housing,removed,0
Witikon,2029,private housing,new,0
Witikon,2029,private housing,removed,0
Witikon,2030,cooperative housing,new,0
Witikon,2030,cooperative housing,removed,0
Witikon,2030,private housing,new,0
Witikon,2030,private housing,removed,0
Witikon,2031,cooperative housing,new,0
Witikon,2031,cooperative housing,removed,0
Witikon,2031,private housing,new,0
Witikon,2031,private housing,removed,0
Witikon,2032,cooperative housing,new,0
Witikon,2032,cooperative housing,removed,0
Witikon,2032,private housing,new,0
Witikon,2032,private housing,removed,0
Witikon,2033,cooperative housing,new,0
Witikon,2033,cooperative housing,removed,0
Witikon,2033,private housing,new,0
Witikon,2033,private housing,removed,0
Seefeld,2021,cooperative housing,new,120.18474517790298
Seefeld,2021,cooperative housing,removed,0
Seefeld,2021,private housing,new,14.898935352632602
Seefeld,2021,private housing,removed,0
Seefeld,2022,cooperative housing,new,0.8097984431073952
Seefeld,2022,cooperative housing,removed,0
Seefeld,2022,private housing,new,0.10038823674885064
Seefeld,2022,private housing,removed,0
Seefeld,2023,cooperative housing,new,0.005456378989600178
Seefeld,2023,cooperative housing,removed,0
Seefeld,2023,private housing,new,6.764106185454766e-4
Seefeld,2023,private housing,removed,0
Seefeld,2024,cooperative housing,new,0
Seefeld,2024,cooperative housing,removed,0
Seefeld,2024,private housing,new,0
Seefeld,2024,private housing,removed,0
Seefeld,2025,cooperative housing,new,0
Seefeld,2025,cooperative housing,removed,0
Seefeld,2025,private housing,new,10.744191005923716
Seefeld,2025,private housing,removed,5.372095502961858
Seefeld,2026,cooperative housing,new,0
Seefeld,2026,cooperative housing,removed,0
Seefeld,2026,private housing,new,0.43795690536602
Seefeld,2026,private housing,removed,0.21897845268301
Seefeld,2027,cooperative housing,new,0
Seefeld,2027,cooperative housing,removed,0
Seefeld,2027,private housing,new,0.017852088710264957
Seefeld,2027,private housing,removed,0.008926044355132478
Seefeld,2028,cooperative housing,new,0
Seefeld,2028,cooperative housing,removed,0
Seefeld,2028,private housing,new,0
Seefeld,2028,private housing,removed,0
Seefeld,2029,cooperative housing,new,0
Seefeld,2029,cooperative housing,removed,0
Seefeld,2029,private housing,new,0
Seefeld,2029,private housing,removed,0
Seefeld,2030,cooperative housing,new,0
Seefeld,2030,cooperative housing,removed,0
Seefeld,2030,private housing,new,0
Seefeld,2030,private housing,removed,0
Seefeld,2031,cooperative housing,new,0
Seefeld,2031,cooperative housing,removed,0
Seefeld,2031,private housing,new,0
Seefeld,2031,private housing,removed,0
Seefeld,2032,cooperative housing,new,0
Seefeld,2032,cooperative housing,removed,0
Seefeld,2032,private housing,new,0
Seefeld,2032,private housing,removed,0
Seefeld,2033,cooperative housing,new,0
Seefeld,2033,cooperative housing,removed,0
Seefeld,2033,private housing,new,0
Seefeld,2033,private housing,removed,0
Muehlebach,2021,cooperative housing,new,0
Muehlebach,2021,cooperative housing,removed,0
Muehlebach,2021,private housing,new,1.9865247136843471
Muehlebach,2021,private housing,removed,0
Muehlebach,2022,cooperative housing,new,0
Muehlebach,2022,cooperative housing,removed,0
Muehlebach,2022,private housing,new,12.876026619101184
Muehlebach,2022,private housing,removed,0
Muehlebach,2023,cooperative housing,new,0
Muehlebach,2023,cooperative housing,removed,0
Muehlebach,2023,private housing,new,53.24132960008829
Muehlebach,2023,private housing,removed,12.784613412070396
Muehlebach,2024,cooperative housing,new,0
Muehlebach,2024,cooperative housing,removed,0
Muehlebach,2024,private housing,new,0.8815335021589251
Muehlebach,2024,private housing,removed,0.21187524821526527
Muehlebach,2025,cooperative housing,new,0
Muehlebach,2025,cooperative housing,removed,0
Muehlebach,2025,private housing,new,0.014585564967256402
Muehlebach,2025,private housing,removed,0.003511339714339504
Muehlebach,2026,cooperative housing,new,0
Muehlebach,2026,cooperative housing,removed,0
Muehlebach,2026,private housing,new,0
Muehlebach,2026,private housing,removed,0
Muehlebach,2027,cooperative housing,new,0
Muehlebach,2027,cooperative housing,removed,0
Muehlebach,2027,private housing,new,0
Muehlebach,2027,private housing,removed,0
Muehlebach,2028,cooperative housing,new,0
Muehlebach,2028,cooperative housing,removed,0
Muehlebach,2028,private housing,new,0
Muehlebach,2028,private housing,removed,0
Muehlebach,2029,cooperative housing,new,0
Muehlebach,2029,cooperative housing,removed,0
Muehlebach,2029,private housing,new,0
Muehlebach,2029,private housing,removed,0
Muehlebach,2030,cooperative housing,new,0
Muehlebach,2030,cooperative housing,removed,0
Muehlebach,2030,private housing,new,0
Muehlebach,2030,private housing,removed,0
Muehlebach,2031,cooperative housing,new,0
Muehlebach,2031,cooperative housing,removed,0
Muehlebach,2031,private housing,new,0
Muehlebach,2031,private housing,removed,0
Muehlebach,2032,cooperative housing,new,0
Muehlebach,2032,cooperative housing,removed,0
Muehlebach,2032,private housing,new,0
Muehlebach,2032,private housing,removed,0
Muehlebach,2033,cooperative housing,new,0
Muehlebach,2033,cooperative housing,removed,0
Muehlebach,2033,private housing,new,0
Muehlebach,2033,private housing,removed,0
Weinegg,2021,cooperative housing,new,0
Weinegg,2021,cooperative housing,removed,0
Weinegg,2021,private housing,new,23.838296564212165
Weinegg,2021,private housing,removed,0
Weinegg,2022,cooperative housing,new,0
Weinegg,2022,cooperative housing,removed,0
Weinegg,2022,private housing,new,10.054960810235087
Weinegg,2022,private housing,removed,1.9788679262873854
Weinegg,2023,cooperative housing,new,0
Weinegg,2023,cooperative housing,removed,0
Weinegg,2023,private housing,new,22.72456918747364
Weinegg,2023,private housing,removed,2.971206504611206
Weinegg,2024,cooperative housing,new,0
Weinegg,2024,cooperative housing,removed,0
Weinegg,2024,private housing,new,0.3759610678152743
Weinegg,2024,private housing,removed,0.049115259936560664
Weinegg,2025,cooperative housing,new,0
Weinegg,2025,cooperative housing,removed,0
Weinegg,2025,private housing,new,33.58180926377544
Weinegg,2025,private housing,removed,8.103091648475778e-4
Weinegg,2026,cooperative housing,new,0
Weinegg,2026,cooperative housing,removed,0
Weinegg,2026,private housing,new,1.3686153292688126
Weinegg,2026,private housing,removed,0
Weinegg,2027,cooperative housing,new,0
Weinegg,2027,cooperative housing,removed,0
Weinegg,2027,private housing,new,0.05578777721957799
Weinegg,2027,private housing,removed,0
Weinegg,2028,cooperative housing,new,0
Weinegg,2028,cooperative housing,removed,0
Weinegg,2028,private housing,new,0
Weinegg,2028,private housing,removed,0
Weinegg,2029,cooperative housing,new,0
Weinegg,2029,cooperative housing,removed,0
Weinegg,2029,private housing,new,0
Weinegg,2029,private housing,removed,0
Weinegg,2030,cooperative housing,new,0
Weinegg,2030,cooperative housing,removed,0
Weinegg,2030,private housing,new,0
Weinegg,2030,private housing,removed,0
Weinegg,2031,cooperative housing,new,0
Weinegg,2031,cooperative housing,removed,0
Weinegg,2031,private housing,new,0
Weinegg,2031,private housing,removed,0
Weinegg,2032,cooperative housing,new,0
Weinegg,2032,cooperative housing,removed,0
Weinegg,2032,private housing,new,0
Weinegg,2032,private housing,removed,0
Weinegg,2033,cooperative housing,new,0
Weinegg,2033,cooperative housing,removed,0
Weinegg,2033,private housing,new,0
Weinegg,2033,private housing,removed,0
Albisrieden,2021,cooperative housing,new,108.26559689579692
Albisrieden,2021,cooperative housing,removed,0
Albisrieden,2021,private housing,new,216.53119379159384
Albisrieden,2021,private housing,removed,0
Albisrieden,2022,cooperative housing,new,74.93703508948526
Albisrieden,2022,cooperative housing,removed,0
Albisrieden,2022,private housing,new,66.76161727490035
Albisrieden,2022,private housing,removed,0
Albisrieden,2023,cooperative housing,new,445.10356922845233
Albisrieden,2023,cooperative housing,removed,111.521166225291
Albisrieden,2023,private housing,new,220.98862026922083
Albisrieden,2023,private housing,removed,201.60351919034085
Albisrieden,2024,cooperative housing,new,30.748389582459886
Albisrieden,2024,cooperative housing,removed,1.8482040882777755
Albisrieden,2024,private housing,new,88.39832524700044
Albisrieden,2024,private housing,removed,4.315135656578753
Albisrieden,2025,cooperative housing,new,0.7296173882952427
Albisrieden,2025,cooperative housing,removed,0.03062968643123844
Albisrieden,2025,private housing,new,137.52468842849194
Albisrieden,2025,private housing,removed,15.429531454944204
Albisrieden,2026,cooperative housing,new,0.01579181551036479
Albisrieden,2026,cooperative housing,removed,0
Albisrieden,2026,private housing,new,5.570809943422289
Albisrieden,2026,private housing,removed,0.6263107142643891
Albisrieden,2027,cooperative housing,new,81.05839353285177
Albisrieden,2027,cooperative housing,removed,119.15583849329211
Albisrieden,2027,private housing,new,0.22474504537029988
Albisrieden,2027,private housing,removed,0.02550298387180708
Albisrieden,2028,cooperative housing,new,8.126820809632079
Albisrieden,2028,cooperative housing,removed,11.946426590159158
Albisrieden,2028,private housing,new,0
Albisrieden,2028,private housing,removed,0
Albisrieden,2029,cooperative housing,new,193.5627171580344
Albisrieden,2029,cooperative housing,removed,77.60852204711135
Albisrieden,2029,private housing,new,0
Albisrieden,2029,private housing,removed,0
Albisrieden,2030,cooperative housing,new,47.53105471405359
Albisrieden,2030,cooperative housing,removed,18.842668118785532
Albisrieden,2030,private housing,new,0
Albisrieden,2030,private housing,removed,0
Albisrieden,2031,cooperative housing,new,11.721013785428262
Albisrieden,2031,cooperative housing,removed,4.646544750651919
Albisrieden,2031,private housing,new,0
Albisrieden,2031,private housing,removed,0
Albisrieden,2032,cooperative housing,new,0
Albisrieden,2032,cooperative housing,removed,0
Albisrieden,2032,private housing,new,0
Albisrieden,2032,private housing,removed,0
Albisrieden,2033,cooperative housing,new,0
Albisrieden,2033,cooperative housing,removed,0
Albisrieden,2033,private housing,new,0
Albisrieden,2033,private housing,removed,0
Altstetten,2021,cooperative housing,new,171.83438773369602
Altstetten,2021,cooperative housing,removed,0
Altstetten,2021,private housing,new,371.4801214589729
Altstetten,2021,private housing,removed,0
Altstetten,2022,cooperative housing,new,1.1578109971700774
Altstetten,2022,cooperative housing,removed,0
Altstetten,2022,private housing,new,262.72414567639584
Altstetten,2022,private housing,removed,8.904905668293233
Altstetten,2023,cooperative housing,new,0.007801269133891163
Altstetten,2023,cooperative housing,removed,0
Altstetten,2023,private housing,new,381.3879184189754
Altstetten,2023,private housing,removed,93.52012104642253
Altstetten,2024,cooperative housing,new,153.8961037631012
Altstetten,2024,cooperative housing,removed,83.7662336938399
Altstetten,2024,private housing,new,161.17395450578582
Altstetten,2024,private housing,removed,19.0817810123794
Altstetten,2025,cooperative housing,new,520.6804045041799
Altstetten,2025,cooperative housing,removed,192.11912710768505
Altstetten,2025,private housing,new,100.25137655439569
Altstetten,2025,private housing,removed,20.43484599370183
Altstetten,2026,cooperative housing,new,214.98256676686063
Altstetten,2026,cooperative housing,removed,117.34810064147204
Altstetten,2026,private housing,new,4.0227709489771675
Altstetten,2026,private housing,removed,0.825192400169668
Altstetten,2027,cooperative housing,new,13.248836859661576
Altstetten,2027,cooperative housing,removed,7.318836583935323
Altstetten,2027,private housing,new,0.15971243649719186
Altstetten,2027,private housing,removed,0.0331538790333492
Altstetten,2028,cooperative housing,new,0.7920881061966715
Altstetten,2028,cooperative housing,removed,0.4477019730676839
Altstetten,2028,private housing,new,0
Altstetten,2028,private housing,removed,0
Altstetten,2029,cooperative housing,new,0
Altstetten,2029,cooperative housing,removed,0
Altstetten,2029,private housing,new,0
Altstetten,2029,private housing,removed,0
Altstetten,2030,cooperative housing,new,234.3277617998034
Altstetten,2030,cooperative housing,removed,113.06314506840513
Altstetten,2030,private housing,new,0
Altstetten,2030,private housing,removed,0
Altstetten,2031,cooperative housing,new,90.62415842226471
Altstetten,2031,cooperative housing,removed,43.72615643874272
Altstetten,2031,private housing,new,0
Altstetten,2031,private housing,removed,0
Altstetten,2032,cooperative housing,new,35.04807977793191
Altstetten,2032,cooperative housing,removed,16.910698492852145
Altstetten,2032,private housing,new,0
Altstetten,2032,private housing,removed,0
Altstetten,2033,cooperative housing,new,0
Altstetten,2033,cooperative housing,removed,0
Altstetten,2033,private housing,new,0
Altstetten,2033,private housing,removed,0
Hoengg,2021,cooperative housing,new,0
Hoengg,2021,cooperative housing,removed,0
Hoengg,2021,private housing,new,116.2116957505343
Hoengg,2021,private housing,removed,0
Hoengg,2022,cooperative housing,new,0
Hoengg,2022,cooperative housing,removed,0
Hoengg,2022,private housing,new,33.43434903038289
Hoengg,2022,private housing,removed,2.9683018894310784
Hoengg,2023,cooperative housing,new,106.21063450027714
Hoengg,2023,cooperative housing,removed,71.69217828768707
Hoengg,2023,private housing,new,34.77042221544642
Hoengg,2023,private housing,removed,0.03136665273859563
Hoengg,2024,cooperative housing,new,1.7601943697883575
Hoengg,2024,cooperative housing,removed,1.1881311996071415
Hoengg,2024,private housing,new,2.522131343081517
Hoengg,2024,private housing,removed,3.3145783032608665e-4
Hoengg,2025,cooperative housing,new,261.63103606880924
Hoengg,2025,cooperative housing,removed,0.01969051270579614
Hoengg,2025,private housing,new,147.98457256105726
Hoengg,2025,private housing,removed,23.79070865597394
Hoengg,2026,cooperative housing,new,10.66346857976015
Hoengg,2026,cooperative housing,removed,0
Hoengg,2026,private housing,new,6.031044092433033
Hoengg,2026,private housing,removed,0.9697617190247587
Hoengg,2027,cooperative housing,new,0.4346664813651119
Hoengg,2027,cooperative housing,removed,0
Hoengg,2027,private housing,new,0.24578500706454076
Hoengg,2027,private housing,removed,0.03952962500130098
Hoengg,2028,cooperative housing,new,0
Hoengg,2028,cooperative housing,removed,0
Hoengg,2028,private housing,new,0
Hoengg,2028,private housing,removed,0
Hoengg,2029,cooperative housing,new,220.28335028630653
Hoengg,2029,cooperative housing,removed,114.96037343066622
Hoengg,2029,private housing,new,0
Hoengg,2029,private housing,removed,0
Hoengg,2030,cooperative housing,new,54.32120538748982
Hoengg,2030,cooperative housing,removed,28.348879061596254
Hoengg,2030,private housing,new,0
Hoengg,2030,private housing,removed,0
Hoengg,2031,cooperative housing,new,13.39544432620373
Hoengg,2031,cooperative housing,removed,6.990747507737572
Hoengg,2031,private housing,new,0
Hoengg,2031,private housing,removed,0
Hoengg,2032,cooperative housing,new,0
Hoengg,2032,cooperative housing,removed,0
Hoengg,2032,private housing,new,0
Hoengg,2032,private housing,removed,0
Hoengg,2033,cooperative housing,new,0
Hoengg,2033,cooperative housing,removed,0
Hoengg,2033,private housing,new,0
Hoengg,2033,private housing,removed,0
Wipkingen,2021,cooperative housing,new,0
Wipkingen,2021,cooperative housing,removed,0
Wipkingen,2021,private housing,new,22.84503420736999
Wipkingen,2021,private housing,removed,0
Wipkingen,2022,cooperative housing,new,0
Wipkingen,2022,cooperative housing,removed,0
Wipkingen,2022,private housing,new,52.59392867629728
Wipkingen,2022,private housing,removed,11.873207557724314
Wipkingen,2023,cooperative housing,new,0
Wipkingen,2023,cooperative housing,removed,0
Wipkingen,2023,private housing,new,30.058135389185047
Wipkingen,2023,private housing,removed,7.992921018382318
Wipkingen,2024,cooperative housing,new,105.19480510389195
Wipkingen,2024,cooperative housing,removed,0
Wipkingen,2024,private housing,new,44.325967428787514
Wipkingen,2024,private housing,removed,39.092749526821166
Wipkingen,2025,cooperative housing,new,19.617860449905802
Wipkingen,2025,cooperative housing,removed,12.27907543534139
Wipkingen,2025,private housing,new,27.815941605410302
Wipkingen,2025,private housing,removed,6.3868977075167805
Wipkingen,2026,cooperative housing,new,0.7592811639432445
Wipkingen,2026,cooperative housing,removed,0.5005221775611658
Wipkingen,2026,private housing,new,1.116681258472591
Wipkingen,2026,private housing,removed,0.24529814520028465
Wipkingen,2027,cooperative housing,new,0.028053282258987792
Wipkingen,2027,cooperative housing,removed,0.020402387097445667
Wipkingen,2027,private housing,new,0.0443114344772648
Wipkingen,2027,private housing,removed,0.008926044355132478
Wipkingen,2028,cooperative housing,new,0
Wipkingen,2028,cooperative housing,removed,0
Wipkingen,2028,private housing,new,0
Wipkingen,2028,private housing,removed,0
Wipkingen,2029,cooperative housing,new,0
Wipkingen,2029,cooperative housing,removed,0
Wipkingen,2029,private housing,new,0
Wipkingen,2029,private housing,removed,0
Wipkingen,2030,cooperative housing,new,0
Wipkingen,2030,cooperative housing,removed,0
Wipkingen,2030,private housing,new,0
Wipkingen,2030,private housing,removed,0
Wipkingen,2031,cooperative housing,new,0
Wipkingen,2031,cooperative housing,removed,0
Wipkingen,2031,private housing,new,0
Wipkingen,2031,private housing,removed,0
Wipkingen,2032,cooperative housing,new,0
