district,year,origin,cha
Leimbach,2037,Swiss,0
Leimbach,2037,foreign,23.9856
Leimbach,2038,Swiss,0
Leimbach,2038,foreign,23.8101
Leimbach,2039,Swiss,0
Leimbach,2039,foreign,23.6346
Leimbach,2040,Swiss,0
Leimbach,2040,foreign,23.4654
Leimbach,2041,Swiss,0
Leimbach,2041,foreign,23.3097
Leimbach,2042,Swiss,0
Leimbach,2042,foreign,23.1675
Leimbach,2043,Swiss,0
Leimbach,2043,foreign,23.0387
Leimbach,2044,Swiss,0
Leimbach,2044,foreign,22.9235
Leimbach,2045,Swiss,0
Leimbach,2045,foreign,22.8218
Leimbach,2046,Swiss,0
Leimbach,2046,foreign,22.7335
Leimbach,2047,Swiss,0
Leimbach,2047,foreign,22.6588
Leimbach,2048,Swiss,0
Leimbach,2048,foreign,22.5975
Leimbach,2049,Swiss,0
Leimbach,2049,foreign,22.5498
Leimbach,2050,Swiss,0
Leimbach,2050,foreign,22.5156
Enge,2021,Swiss,0
Enge,2021,foreign,28.4773
Enge,2022,Swiss,0
Enge,2022,foreign,28.2604
Enge,2023,Swiss,0
Enge,2023,foreign,28.0434
Enge,2024,Swiss,0
Enge,2024,foreign,27.8265
Enge,2025,Swiss,0
Enge,2025,foreign,27.6095
Enge,2026,Swiss,0
Enge,2026,foreign,27.3926
Enge,2027,Swiss,0
Enge,2027,foreign,27.1757
Enge,2028,Swiss,0
Enge,2028,foreign,26.9587
Enge,2029,Swiss,0
Enge,2029,foreign,26.7418
Enge,2030,Swiss,0
Enge,2030,foreign,26.5248
Enge,2031,Swiss,0
Enge,2031,foreign,26.3079
Enge,2032,Swiss,0
Enge,2032,foreign,26.0909
Enge,2033,Swiss,0
Enge,2033,foreign,25.874
Enge,2034,Swiss,0
Enge,2034,foreign,25.657
Enge,2035,Swiss,0
Enge,2035,foreign,25.4401
Enge,2036,Swiss,0
Enge,2036,foreign,25.2356
Enge,2037,Swiss,0
Enge,2037,foreign,25.0478
Enge,2038,Swiss,0
Enge,2038,foreign,24.8767
Enge,2039,Swiss,0
Enge,2039,foreign,24.7223
Enge,2040,Swiss,0
Enge,2040,foreign,24.5846
Enge,2041,Swiss,0
Enge,2041,foreign,24.4635
Enge,2042,Swiss,0
Enge,2042,foreign,24.3592
Enge,2043,Swiss,0
Enge,2043,foreign,24.2715
Enge,2044,Swiss,0
Enge,2044,foreign,24.2006
Enge,2045,Swiss,0
Enge,2045,foreign,24.1463
Enge,2046,Swiss,0
Enge,2046,foreign,24.1087
Enge,2047,Swiss,0
Enge,2047,foreign,24.0878
Enge,2048,Swiss,0
Enge,2048,foreign,24.0836
Enge,2049,Swiss,0
Enge,2049,foreign,24.0836
Enge,2050,Swiss,0
Enge,2050,foreign,24.0836
Alt-Wiedikon,2021,Swiss,0
Alt-Wiedikon,2021,foreign,32.145
Alt-Wiedikon,2022,Swiss,0
Alt-Wiedikon,2022,foreign,32.1533
Alt-Wiedikon,2023,Swiss,0
Alt-Wiedikon,2023,foreign,32.1616
Alt-Wiedikon,2024,Swiss,0
Alt-Wiedikon,2024,foreign,32.1699
Alt-Wiedikon,2025,Swiss,0
Alt-Wiedikon,2025,foreign,32.1782
Alt-Wiedikon,2026,Swiss,0
Alt-Wiedikon,2026,foreign,32.1865
Alt-Wiedikon,2027,Swiss,0
Alt-Wiedikon,2027,foreign,32.1948
Alt-Wiedikon,2028,Swiss,0
Alt-Wiedikon,2028,foreign,32.2031
Alt-Wiedikon,2029,Swiss,0
Alt-Wiedikon,2029,foreign,32.2114
Alt-Wiedikon,2030,Swiss,0
Alt-Wiedikon,2030,foreign,32.2197
Alt-Wiedikon,2031,Swiss,0
Alt-Wiedikon,2031,foreign,32.228
Alt-Wiedikon,2032,Swiss,0
Alt-Wiedikon,2032,foreign,32.2363
Alt-Wiedikon,2033,Swiss,0
Alt-Wiedikon,2033,foreign,32.2446
Alt-Wiedikon,2034,Swiss,0
Alt-Wiedikon,2034,foreign,32.2529
Alt-Wiedikon,2035,Swiss,0
Alt-Wiedikon,2035,foreign,32.2612
Alt-Wiedikon,2036,Swiss,0
Alt-Wiedikon,2036,foreign,32.2695
Alt-Wiedikon,2037,Swiss,0
Alt-Wiedikon,2037,foreign,32.2778
Alt-Wiedikon,2038,Swiss,0
Alt-Wiedikon,2038,foreign,32.2861
Alt-Wiedikon,2039,Swiss,0
Alt-Wiedikon,2039,foreign,32.2944
Alt-Wiedikon,2040,Swiss,0
Alt-Wiedikon,2040,foreign,32.3027
Alt-Wiedikon,2041,Swiss,0
Alt-Wiedikon,2041,foreign,32.311
Alt-Wiedikon,2042,Swiss,0
Alt-Wiedikon,2042,foreign,32.3193
Alt-Wiedikon,2043,Swiss,0
