district,year,owner,usage_ha
Escher Wyss,2035,cooperative housing,12.974
Escher Wyss,2035,private housing,27.1375
Escher Wyss,2036,cooperative housing,12.4653
Escher Wyss,2036,private housing,26.0734
Escher Wyss,2037,cooperative housing,11.9765
Escher Wyss,2037,private housing,25.0511
Escher Wyss,2038,cooperative housing,11.5069
Escher Wyss,2038,private housing,24.0688
Escher Wyss,2039,cooperative housing,11.0557
Escher Wyss,2039,private housing,23.125
Escher Wyss,2040,cooperative housing,10.6222
Escher Wyss,2040,private housing,22.2183
Escher Wyss,2041,cooperative housing,10.2057
Escher Wyss,2041,private housing,21.3471
Escher Wyss,2042,cooperative housing,9.8056
Escher Wyss,2042,private housing,20.5101
Escher Wyss,2043,cooperative housing,9.4211
Escher Wyss,2043,private housing,19.7059
Escher Wyss,2044,cooperative housing,9.0517
Escher Wyss,2044,private housing,18.9332
Escher Wyss,2045,cooperative housing,8.6967
Escher Wyss,2045,private housing,18.1908
Escher Wyss,2046,cooperative housing,8.3557
Escher Wyss,2046,private housing,17.4775
Escher Wyss,2047,cooperative housing,8.0281
Escher Wyss,2047,private housing,16.7922
Escher Wyss,2048,cooperative housing,7.7133
Escher Wyss,2048,private housing,16.1338
Escher Wyss,2049,cooperative housing,7.4109
Escher Wyss,2049,private housing,15.5012
Escher Wyss,2050,cooperative housing,7.1203
Escher Wyss,2050,private housing,14.8934
Unterstrass,2021,cooperative housing,44.6798
Unterstrass,2021,private housing,69.6884
Unterstrass,2022,cooperative housing,42.9279
Unterstrass,2022,private housing,66.9559
Unterstrass,2023,cooperative housing,41.2447
Unterstrass,2023,private housing,64.3305
Unterstrass,2024,cooperative housing,39.6275
Unterstrass,2024,private housing,61.8081
Unterstrass,2025,cooperative housing,38.0736
Unterstrass,2025,private housing,59.3845
Unterstrass,2026,cooperative housing,36.5807
Unterstrass,2026,private housing,57.056
Unterstrass,2027,cooperative housing,35.1464
Unterstrass,2027,private housing,54.8188
Unterstrass,2028,cooperative housing,33.7683
Unterstrass,2028,private housing,52.6694
Unterstrass,2029,cooperative housing,32.4442
Unterstrass,2029,private housing,50.6042
Unterstrass,2030,cooperative housing,31.1721
Unterstrass,2030,private housing,48.6199
Unterstrass,2031,cooperative housing,29.9498
Unterstrass,2031,private housing,46.7135
Unterstrass,2032,cooperative housing,28.7754
Unterstrass,2032,private housing,44.8819
Unterstrass,2033,cooperative housing,27.6471
Unterstrass,2033,private housing,43.122
Unterstrass,2034,cooperative housing,26.5631
Unterstrass,2034,private housing,41.4312
Unterstrass,2035,cooperative housing,25.5215
Unterstrass,2035,private housing,39.8066
Unterstrass,2036,cooperative housing,24.5208
Unterstrass,2036,private housing,38.2458
Unterstrass,2037,cooperative housing,23.5593
Unterstrass,2037,private housing,36.7462
Unterstrass,2038,cooperative housing,22.6356
Unterstrass,2038,private housing,35.3053
Unterstrass,2039,cooperative housing,21.748
Unterstrass,2039,private housing,33.921
Unterstrass,2040,cooperative housing,20.8953
Unterstrass,2040,private housing,32.5909
Unterstrass,2041,cooperative housing,20.0759
Unterstrass,2041,private housing,31.313
Unterstrass,2042,cooperative housing,19.2888
Unterstrass,2042,private housing,30.0852
Unterstrass,2043,cooperative housing,18.5324
Unterstrass,2043,private housing,28.9056
Unterstrass,2044,cooperative housing,17.8058
Unterstrass,2044,private housing,27.7722
Unterstrass,2045,cooperative housing,17.1076
Unterstrass,2045,private housing,26.6832
Unterstrass,2046,cooperative housing,16.4368
Unterstrass,2046,private housing,25.6369
Unterstrass,2047,cooperative housing,15.7923
Unterstrass,2047,private housing,24.6317
Unterstrass,2048,cooperative housing,15.1731
Unterstrass,2048,private housing,23.6659
Unterstrass,2049,cooperative housing,14.5781
Unterstrass,2049,private housing,22.7379
Unterstrass,2050,cooperative housing,14.0065
Unterstrass,2050,private housing,21.8463
Oberstrass,2021,cooperative housing,9.0455
Oberstrass,2021,private housing,20.0515
Oberstrass,2022,cooperative housing,8.6908
Oberstrass,2022,private housing,19.2653
Oberstrass,2023,cooperative housing,8.35
Oberstrass,2023,private housing,18.5099
Oberstrass,2024,cooperative housing,8.0226
Oberstrass,2024,private housing,17.7841
Oberstrass,2025,cooperative housing,7.708
Oberstrass,2025,private housing,17.0867
Oberstrass,2026,cooperative housing,7.4058
Oberstrass,2026,private housing,16.4168
Oberstrass,2027,cooperative housing,7.1154
Oberstrass,2027,private housing,15.7731
Oberstrass,2028,cooperative housing,6.8364
Oberstrass,2028,private housing,15.1546
Oberstrass,2029,cooperative housing,6.5683
Oberstrass,2029,private housing,14.5604
Oberstrass,2030,cooperative housing,6.3108
Oberstrass,2030,private housing,13.9894
Oberstrass,2031,cooperative housing,6.0634
Oberstrass,2031,private housing,13.4409
Oberstrass,2032,cooperative housing,5.8256
Oberstrass,2032,private housing,12.9139
Oberstrass,2033,cooperative housing,5.5972
Oberstrass,2033,private housing,12.4075
Oberstrass,2034,cooperative housing,5.3777
Oberstrass,2034,private housing,11.921
Oberstrass,2035,cooperative housing,5.1668
Oberstrass,2035,private housing,11.4536
Oberstrass,2036,cooperative housing,4.9643
Oberstrass,2036,private housing,11.0045
Oberstrass,2037,cooperative housing,4.7696
Oberstrass,2037,private housing,10.573
Oberstrass,2038,cooperative housing,4.5826
Oberstrass,2038,private housing,10.1584
Oberstrass,2039,cooperative housing,4.4029
Oberstrass,2039,private housing,9.7601
Oberstrass,2040,cooperative housing,4.2303
Oberstrass,2040,private housing,9.3774
Oberstrass,2041,cooperative housing,4.0644
Oberstrass,2041,private housing,9.0097
Oberstrass,2042,cooperative housing,3.905
Oberstrass,2042,private housing,8.6564
Oberstrass,2043,cooperative housing,3.7519
Oberstrass,2043,private housing,8.317
Oberstrass,2044,cooperative housing,3.6048
Oberstrass,2044,private housing,7.9909
Oberstrass,2045,cooperative housing,3.4634
Oberstrass,2045,private housing,7.6776
Oberstrass,2046,cooperative housing,3.3276
Oberstrass,2046,private housing,7.3765
Oberstrass,2047,cooperative housing,3.1972
Oberstrass,2047,private housing,7.0873
Oberstrass,2048,cooperative housing,3.0718
Oberstrass,2048,private housing,6.8094
Oberstrass,2049,cooperative housing,2.9513
Oberstrass,2049,private housing,6.5424
Oberstrass,2050,cooperative housing,2.8356
Oberstrass,2050,private housing,6.2859
Fluntern,2021,cooperative housing,2.7213
Fluntern,2021,private housing,49.0808
Fluntern,2022,cooperative housing,2.6146
Fluntern,2022,private housing,47.1563
Fluntern,2023,cooperative housing,2.512
Fluntern,2023,private housing,45.3073
Fluntern,2024,cooperative housing,2.4135
Fluntern,2024,private housing,43.5308
Fluntern,2025,cooperative housing,2.3189
Fluntern,2025,private housing,41.8239
Fluntern,2026,cooperative housing,2.228
Fluntern,2026,private housing,40.184
Fluntern,2027,cooperative housing,2.1406
Fluntern,2027,private housing,38.6083
Fluntern,2028,cooperative housing,2.0567
Fluntern,2028,private housing,37.0945
Fluntern,2029,cooperative housing,1.976
Fluntern,2029,private housing,35.64
Fluntern,2030,cooperative housing,1.8986
Fluntern,2030,private housing,34.2425
Fluntern,2031,cooperative housing,1.8241
Fluntern,2031,private housing,32.8999
Fluntern,2032,cooperative housing,1.7526
Fluntern,2032,private housing,31.6098
Fluntern,2033,cooperative housing,1.6839
Fluntern,2033,private housing,30.3704
Fluntern,2034,cooperative housing,1.6178
Fluntern,2034,private housing,29.1796
Fluntern,2035,cooperative housing,1.5544
Fluntern,2035,private housing,28.0354
Fluntern,2036,cooperative housing,1.4935
Fluntern,2036,private housing,26.9361
Fluntern,2037,cooperative housing,1.4349
Fluntern,2037,private housing,25.8799
Fluntern,2038,cooperative housing,1.3786
Fluntern,2038,private housing,24.8652
Fluntern,2039,cooperative housing,1.3246
Fluntern,2039,private housing,23.8902
Fluntern,2040,cooperative housing,1.2726
Fluntern,2040,private housing,22.9534
Fluntern,2041,cooperative housing,1.2227
Fluntern,2041,private housing,22.0534
Fluntern,2042,cooperative housing,1.1748
Fluntern,2042,private housing,21.1887
Fluntern,2043,cooperative housing,1.1287
Fluntern,2043,private housing,20.3579
Fluntern,2044,cooperative housing,1.0845
Fluntern,2044,private housing,19.5596
Fluntern,2045,cooperative housing,1.042
Fluntern,2045,private housing,18.7927
Fluntern,2046,cooperative housing,1.0011
Fluntern,2046,private housing,18.0558
Fluntern,2047,cooperative housing,0.9618
Fluntern,2047,private housing,17.3478
Fluntern,2048,cooperative housing,0.9241
Fluntern,2048,private housing,16.6676
Fluntern,2049,cooperative housing,0.8879
Fluntern,2049,private housing,16.0141
Fluntern,2050,cooperative housing,0.8531
Fluntern,2050,private housing,15.3862
Hottingen,2021,cooperative housing,3.548
Hottingen,2021,private housing,39.114
Hottingen,2022,cooperative housing,3.4089
Hottingen,2022,private housing,37.5804
Hottingen,2023,cooperative housing,3.2752
Hottingen,2023,private housing,36.1068
Hottingen,2024,cooperative housing,3.1468
Hottingen,2024,private housing,34.691
Hottingen,2025,cooperative housing,3.0234
Hottingen,2025,private housing,33.3308
Hottingen,2026,cooperative housing,2.9049
Hottingen,2026,private housing,32.0239
Hottingen,2027,cooperative housing,2.791
Hottingen,2027,private housing,30.7682
Hottingen,2028,cooperative housing,2.6815
Hottingen,2028,private housing,29.5618
Hottingen,2029,cooperative housing,2.5764
Hottingen,2029,private housing,28.4026
Hottingen,2030,cooperative housing,2.4754
Hottingen,2030,private housing,27.2889
Hottingen,2031,cooperative housing,2.3783
Hottingen,2031,private housing,26.2189
Hottingen,2032,cooperative housing,2.2851
Hottingen,2032,private housing,25.1909
Hottingen,2033,cooperative housing,2.1955
Hottingen,2033,private housing,24.2031
Hottingen,2034,cooperative housing,2.1094
Hottingen,2034,private housing,23.2541
Hottingen,2035,cooperative housing,2.0267
Hottingen,2035,private housing,22.3423
Hottingen,2036,cooperative housing,1.9472
Hottingen,2036,private housing,21.4662
Hottingen,2037,cooperative housing,1.8709
Hottingen,2037,private housing,20.6245
Hottingen,2038,cooperative housing,1.7975
Hottingen,2038,private housing,19.8158
Hottingen,2039,cooperative housing,1.727
Hottingen,2039,private housing,19.0388
Hottingen,2040,cooperative housing,1.6593
Hottingen,2040,private housing,18.2923
Hottingen,2041,cooperative housing,1.5942
Hottingen,2041,private housing,17.5751
Hottingen,2042,cooperative housing,1.5317
Hottingen,2042,private housing,16.8859
Hottingen,2043,cooperative housing,1.4717
Hottingen,2043,private housing,16.2238
Hottingen,2044,cooperative housing,1.414
Hottingen,2044,private housing,15.5877
Hottingen,2045,cooperative housing,1.3585
Hottingen,2045,private housing,14.9765
Hottingen,2046,cooperative housing,1.3052
Hottingen,2046,private housing,14.3893
Hottingen,2047,cooperative housing,1.2541
Hottingen,2047,private housing,13.825
Hottingen,2048,cooperative housing,1.2049
Hottingen,2048,private housing,13.283
Hottingen,2049,cooperative housing,1.1577
Hottingen,2049,private housing,12.7621
Hottingen,2050,cooperative housing,1.1123
Hottingen,2050,private housing,12.2617
Hirslanden,2021,cooperative housing,4.1763
Hirslanden,2021,private housing,26.034300000000002
Hirslanden,2022,cooperative housing,4.0126
Hirslanden,2022,private housing,25.0135
Hirslanden,2023,cooperative housing,3.8552
Hirslanden,2023,private housing,24.0327
Hirslanden,2024,cooperative housing,3.7041
Hirslanden,2024,private housing,23.0904
Hirslanden,2025,cooperative housing,3.5588
Hirslanden,2025,private housing,22.185
Hirslanden,2026,cooperative housing,3.4193
Hirslanden,2026,private housing,21.3151
Hirslanden,2027,cooperative housing,3.2852
Hirslanden,2027,private housing,20.4793
Hirslanden,2028,cooperative housing,3.1564
Hirslanden,2028,private housing,19.6763
Hirslanden,2029,cooperative housing,3.0326
Hirslanden,2029,private housing,18.9048
Hirslanden,2030,cooperative housing,2.9137
Hirslanden,2030,private housing,18.1635
Hirslanden,2031,cooperative housing,2.7995
Hirslanden,2031,private housing,17.4513
Hirslanden,2032,cooperative housing,2.6897
Hirslanden,2032,private housing,16.7671
Hirslanden,2033,cooperative housing,2.5842
Hirslanden,2033,private housing,16.1096
Hirslanden,2034,cooperative housing,2.4829
Hirslanden,2034,private housing,15.478
Hirslanden,2035,cooperative housing,2.3855
Hirslanden,2035,private housing,14.8711
Hirslanden,2036,cooperative housing,2.292
Hirslanden,2036,private housing,14.288
Hirslanden,2037,cooperative housing,2.2021
Hirslanden,2037,private housing,13.7277
Hirslanden,2038,cooperative housing,2.1158
Hirslanden,2038,private housing,13.1894
Hirslanden,2039,cooperative housing,2.0328
Hirslanden,2039,private housing,12.6723
Hirslanden,2040,cooperative housing,1.9531
Hirslanden,2040,private housing,12.1754
Hirslanden,2041,cooperative housing,1.8765
Hirslanden,2041,private housing,11.698
Hirslanden,2042,cooperative housing,1.803
Hirslanden,2042,private housing,11.2393
Hirslanden,2043,cooperative housing,1.7323
Hirslanden,2043,private housing,10.7986
Hirslanden,2044,cooperative housing,1.6643
Hirslanden,2044,private housing,10.3752
Hirslanden,2045,cooperative housing,1.5991
Hirslanden,2045,private housing,9.9684
Hirslanden,2046,cooperative housing,1.5364
Hirslanden,2046,private housing,9.5775
Hirslanden,2047,cooperative housing,1.4761
Hirslanden,2047,private housing,9.202
Hirslanden,2048,cooperative housing,1.4183
Hirslanden,2048,private housing,8.8411
Hirslanden,2049,cooperative housing,1.3626
Hirslanden,2049,private housing,8.4945
Hirslanden,2050,cooperative housing,1.3092
Hirslanden,2050,private housing,8.1614
Witikon,2021,cooperative housing,3.3193
Witikon,2021,private housing,68.4013
Witikon,2022,cooperative housing,3.1891
Witikon,2022,private housing,65.7193
Witikon,2023,cooperative housing,3.0641
Witikon,2023,private housing,63.1424
Witikon,2024,cooperative housing,2.9439
Witikon,2024,private housing,60.6665
Witikon,2025,cooperative housing,2.8285
Witikon,2025,private housing,58.2878
Witikon,2026,cooperative housing,2.7176
Witikon,2026,private housing,56.0023
Witikon,2027,cooperative housing,2.611
Witikon,2027,private housing,53.8064
Witikon,2028,cooperative housing,2.5087
Witikon,2028,private housing,51.6966
Witikon,2029,cooperative housing,2.4103
Witikon,2029,private housing,49.6696
Witikon,2030,cooperative housing,2.3158
Witikon,2030,private housing,47.722
Witikon,2031,cooperative housing,2.225
Witikon,2031,private housing,45.8508
Witikon,2032,cooperative housing,2.1377
Witikon,2032,private housing,44.053
Witikon,2033,cooperative housing,2.0539
Witikon,2033,private housing,42.3256
Witikon,2034,cooperative housing,1.9734
Witikon,2034,private housing,40.666
Witikon,2035,cooperative housing,1.896
Witikon,2035,private housing,39.0715
Witikon,2036,cooperative housing,1.8217
Witikon,2036,private housing,37.5395
Witikon,2037,cooperative housing,1.7502
Witikon,2037,private housing,36.0675
Witikon,2038,cooperative housing,1.6816
Witikon,2038,private housing,34.6533
Witikon,2039,cooperative housing,1.6157
Witikon,2039,private housing,33.2945
Witikon,2040,cooperative housing,1.5523
Witikon,2040,private housing,31.989
Witikon,2041,cooperative housing,1.4915
Witikon,2041,private housing,30.7347
Witikon,2042,cooperative housing,1.433
Witikon,2042,private housing,29.5296
Witikon,2043,cooperative housing,1.3768
Witikon,2043,private housing,28.3717
Witikon,2044,cooperative housing,1.3228
Witikon,2044,private housing,27.2592
Witikon,2045,cooperative housing,1.2709
Witikon,2045,private housing,26.1904
Witikon,2046,cooperative housing,1.2211
Witikon,2046,private housing,25.1634
Witikon,2047,cooperative housing,1.1732
Witikon,2047,private housing,24.1768
Witikon,2048,cooperative housing,1.1272
Witikon,2048,private housing,23.2288
Witikon,2049,cooperative housing,1.083
Witikon,2049,private housing,22.318
Witikon,2050,cooperative housing,1.0406
Witikon,2050,private housing,21.4429
Seefeld,2021,cooperative housing,13.2599
Seefeld,2021,private housing,6.6302
Seefeld,2022,cooperative housing,12.74
Seefeld,2022,private housing,6.3702
Seefeld,2023,cooperative housing,12.2404
Seefeld,2023,private housing,6.1204
Seefeld,2024,cooperative housing,11.7605
Seefeld,2024,private housing,5.8805
Seefeld,2025,cooperative housing,11.2993
Seefeld,2025,private housing,5.6499
Seefeld,2026,cooperative housing,10.8563
Seefeld,2026,private housing,5.4283
Seefeld,2027,cooperative housing,10.4306
Seefeld,2027,private housing,5.2155
Seefeld,2028,cooperative housing,10.0216
Seefeld,2028,private housing,5.011
Seefeld,2029,cooperative housing,9.6287
Seefeld,2029,private housing,4.8145
Seefeld,2030,cooperative housing,9.2511
Seefeld,2030,private housing,4.6257
Seefeld,2031,cooperative housing,8.8884
Seefeld,2031,private housing,4.4444
Seefeld,2032,cooperative housing,8.5399
Seefeld,2032,private housing,4.2701
Seefeld,2033,cooperative housing,8.205
Seefeld,2033,private housing,4.1027
Seefeld,2034,cooperative housing,7.8833
Seefeld,2034,private housing,3.9418
Seefeld,2035,cooperative housing,7.5742
Seefeld,2035,private housing,3.7872
Seefeld,2036,cooperative housing,7.2772
Seefeld,2036,private housing,3.6387
Seefeld,2037,cooperative housing,6.9918
Seefeld,2037,private housing,3.4961
Seefeld,2038,cooperative housing,6.7177
Seefeld,2038,private housing,3.359
Seefeld,2039,cooperative housing,6.4543
Seefeld,2039,private housing,3.2273
Seefeld,2040,cooperative housing,6.2012
Seefeld,2040,private housing,3.1007
Seefeld,2041,cooperative housing,5.9581
Seefeld,2041,private housing,2.9791
Seefeld,2042,cooperative housing,5.7244
Seefeld,2042,private housing,2.8623
Seefeld,2043,cooperative housing,5.5
Seefeld,2043,private housing,2.7501
Seefeld,2044,cooperative housing,5.2843
Seefeld,2044,private housing,2.6423
Seefeld,2045,cooperative housing,5.0771
Seefeld,2045,private housing,2.5387
Seefeld,2046,cooperative housing,4.878
Seefeld,2046,private housing,2.4391
Seefeld,2047,cooperative housing,4.6868
Seefeld,2047,private housing,2.3435
Seefeld,2048,cooperative housing,4.503
Seefeld,2048,private housing,2.2516
Seefeld,2049,cooperative housing,4.3264
Seefeld,2049,private housing,2.1633
Seefeld,2050,cooperative housing,4.1568
Seefeld,2050,private housing,2.0785
Muehlebach,2021,cooperative housing,1.9135
Muehlebach,2021,private housing,17.484
Muehlebach,2022,cooperative housing,1.8385
Muehlebach,2022,private housing,16.7984
Muehlebach,2023,cooperative housing,1.7664
Muehlebach,2023,private housing,16.1398
Muehlebach,2024,cooperative housing,1.6972
Muehlebach,2024,private housing,15.5069
Muehlebach,2025,cooperative housing,1.6306
Muehlebach,2025,private housing,14.8989
Muehlebach,2026,cooperative housing,1.5667
Muehlebach,2026,private housing,14.3147
Muehlebach,2027,cooperative housing,1.5053
Muehlebach,2027,private housing,13.7534
Muehlebach,2028,cooperative housing,1.4462
Muehlebach,2028,private housing,13.2141
Muehlebach,2029,cooperative housing,1.3895
Muehlebach,2029,private housing,12.696
Muehlebach,2030,cooperative housing,1.335
Muehlebach,2030,private housing,12.1982
Muehlebach,2031,cooperative housing,1.2827
Muehlebach,2031,private housing,11.7199
Muehlebach,2032,cooperative housing,1.2324
Muehlebach,2032,private housing,11.2603
Muehlebach,2033,cooperative housing,1.1841
Muehlebach,2033,private housing,10.8188
Muehlebach,2034,cooperative housing,1.1376
Muehlebach,2034,private housing,10.3946
Muehlebach,2035,cooperative housing,1.093
Muehlebach,2035,private housing,9.987
Muehlebach,2036,cooperative housing,1.0502
Muehlebach,2036,private housing,9.5954
Muehlebach,2037,cooperative housing,1.009
Muehlebach,2037,private housing,9.2192
Muehlebach,2038,cooperative housing,0.9694
Muehlebach,2038,private housing,8.8577
Muehlebach,2039,cooperative housing,0.9314
Muehlebach,2039,private housing,8.5104
Muehlebach,2040,cooperative housing,0.8949
Muehlebach,2040,private housing,8.1767
Muehlebach,2041,cooperative housing,0.8598
Muehlebach,2041,private housing,7.8561
Muehlebach,2042,cooperative housing,0.8261
Muehlebach,2042,private housing,7.548
Muehlebach,2043,cooperative housing,0.7937
Muehlebach,2043,private housing,7.2521
Muehlebach,2044,cooperative housing,0.7626
Muehlebach,2044,private housing,6.9677
Muehlebach,2045,cooperative housing,0.7327
Muehlebach,2045,private housing,6.6945
Muehlebach,2046,cooperative housing,0.704
Muehlebach,2046,private housing,6.432
Muehlebach,2047,cooperative housing,0.6764
Muehlebach,2047,private housing,6.1798
Muehlebach,2048,cooperative housing,0.6498
Muehlebach,2048,private housing,5.9375
Muehlebach,2049,cooperative housing,0.6244
Muehlebach,2049,private housing,5.7047
Muehlebach,2050,cooperative housing,0.5999
Muehlebach,2050,private housing,5.481
Weinegg,2021,cooperative housing,3.5783
Weinegg,2021,private housing,28.7744
Weinegg,2022,cooperative housing,3.438
Weinegg,2022,private housing,27.6462
Weinegg,2023,cooperative housing,3.3032
Weinegg,2023,private housing,26.5621
Weinegg,2024,cooperative housing,3.1736
Weinegg,2024,private housing,25.5206
Weinegg,2025,cooperative housing,3.0492
Weinegg,2025,private housing,24.5199
Weinegg,2026,cooperative housing,2.9296
Weinegg,2026,private housing,23.5585
Weinegg,2027,cooperative housing,2.8148
Weinegg,2027,private housing,22.6348
Weinegg,2028,cooperative housing,2.7044
Weinegg,2028,private housing,21.7472
Weinegg,2029,cooperative housing,2.5984
Weinegg,2029,private housing,20.8945
Weinegg,2030,cooperative housing,2.4965
Weinegg,2030,private housing,20.0752
Weinegg,2031,cooperative housing,2.3986
Weinegg,2031,private housing,19.2881
Weinegg,2032,cooperative housing,2.3045
Weinegg,2032,private housing,18.5318
Weinegg,2033,cooperative housing,2.2142
Weinegg,2033,private housing,17.8051
Weinegg,2034,cooperative housing,2.1274
Weinegg,2034,private housing,17.107
Weinegg,2035,cooperative housing,2.0439
Weinegg,2035,private housing,16.4362
Weinegg,2036,cooperative housing,1.9638
Weinegg,2036,private housing,15.7917
Weinegg,2037,cooperative housing,1.8868
Weinegg,2037,private housing,15.1725
Weinegg,2038,cooperative housing,1.8128
Weinegg,2038,private housing,14.5776
Weinegg,2039,cooperative housing,1.7417
Weinegg,2039,private housing,14.006
Weinegg,2040,cooperative housing,1.6734
Weinegg,2040,private housing,13.4568
Weinegg,2041,cooperative housing,1.6078
Weinegg,2041,private housing,12.9292
Weinegg,2042,cooperative housing,1.5448
Weinegg,2042,private housing,12.4222
Weinegg,2043,cooperative housing,1.4842
Weinegg,2043,private housing,11.9351
Weinegg,2044,cooperative housing,1.426
Weinegg,2044,private housing,11.4672
Weinegg,2045,cooperative housing,1.3701
Weinegg,2045,private housing,11.0175
Weinegg,2046,cooperative housing,1.3164
Weinegg,2046,private housing,10.5855
Weinegg,2047,cooperative housing,1.2648
Weinegg,2047,private housing,10.1705
Weinegg,2048,cooperative housing,1.2152
Weinegg,2048,private housing,9.7717
Weinegg,2049,cooperative housing,1.1675
Weinegg,2049,private housing,9.3885
Weinegg,2050,cooperative housing,1.1217
Weinegg,2050,private housing,9.0204
Albisrieden,2021,cooperative housing,52.1452
Albisrieden,2021,private housing,40.2527
Albisrieden,2022,cooperative housing,50.1005
Albisrieden,2022,private housing,38.6743
Albisrieden,2023,cooperative housing,48.1361
Albisrieden,2023,private housing,37.1579
Albisrieden,2024,cooperative housing,46.2486
Albisrieden,2024,private housing,35.7009
Albisrieden,2025,cooperative housing,44.4352
Albisrieden,2025,private housing,34.3011
Albisrieden,2026,cooperative housing,42.6929
Albisrieden,2026,private housing,32.9561
Albisrieden,2027,cooperative housing,41.0189
Albisrieden,2027,private housing,31.6639
Albisrieden,2028,cooperative housing,39.4105
Albisrieden,2028,private housing,30.4223
Albisrieden,2029,cooperative housing,37.8652
Albisrieden,2029,private housing,29.2294
Albisrieden,2030,cooperative housing,36.3805
Albisrieden,2030,private housing,28.0833
Albisrieden,2031,cooperative housing,34.954
Albisrieden,2031,private housing,26.9822
Albisrieden,2032,cooperative housing,33.5834
Albisrieden,2032,private housing,25.9242
Albisrieden,2033,cooperative housing,32.2666
Albisrieden,2033,private housing,24.9077
Albisrieden,2034,cooperative housing,31.0014
Albisrieden,2034,private housing,23.931
Albisrieden,2035,cooperative housing,29.7858
Albisrieden,2035,private housing,22.9927
Albisrieden,2036,cooperative housing,28.6179
Albisrieden,2036,private housing,22.0911
Albisrieden,2037,cooperative housing,27.4958
Albisrieden,2037,private housing,21.2249
Albisrieden,2038,cooperative housing,26.4176
Albisrieden,2038,private housing,20.3927
Albisrieden,2039,cooperative housing,25.3818
Albisrieden,2039,private housing,19.5931
Albisrieden,2040,cooperative housing,24.3866
Albisrieden,2040,private housing,18.8248
Albisrieden,2041,cooperative housing,23.4303
Albisrieden,2041,private housing,18.0867
Albisrieden,2042,cooperative housing,22.5116
Albisrieden,2042,private housing,17.3775
Albisrieden,2043,cooperative housing,21.6289
Albisrieden,2043,private housing,16.6961
Albisrieden,2044,cooperative housing,20.7809
Albisrieden,2044,private housing,16.0415
Albisrieden,2045,cooperative housing,19.966
Albisrieden,2045,private housing,15.4125
Albisrieden,2046,cooperative housing,19.1831
Albisrieden,2046,private housing,14.8081
Albisrieden,2047,cooperative housing,18.431
Albisrieden,2047,private housing,14.2275
Albisrieden,2048,cooperative housing,17.7083
Albisrieden,2048,private housing,13.6696
Albisrieden,2049,cooperative housing,17.0139
Albisrieden,2049,private housing,13.1336
Albisrieden,2050,cooperative housing,16.346800000000002
Albisrieden,2050,private housing,12.6187
Altstetten,2021,cooperative housing,66.6784
Altstetten,2021,private housing,92.45
Altstetten,2022,cooperative housing,64.0639
Altstetten,2022,private housing,88.8249
Altstetten,2023,cooperative housing,61.5519
Altstetten,2023,private housing,85.3421
Altstetten,2024,cooperative housing,59.1384
Altstetten,2024,private housing,81.9958
Altstetten,2025,cooperative housing,56.8196
Altstetten,2025,private housing,78.7807
Altstetten,2026,cooperative housing,54.5917
Altstetten,2026,private housing,75.6916
Altstetten,2027,cooperative housing,52.4511
Altstetten,2027,private housing,72.7237
Altstetten,2028,cooperative housing,50.3945
Altstetten,2028,private housing,69.8722
Altstetten,2029,cooperative housing,48.4185
Altstetten,2029,private housing,67.1324
Altstetten,2030,cooperative housing,46.5199
Altstetten,2030,private housing,64.5001
Altstetten,2031,cooperative housing,44.6959
Altstetten,2031,private housing,61.9711
Altstetten,2032,cooperative housing,42.9433
Altstetten,2032,private housing,59.5411
Altstetten,2033,cooperative housing,41.2595
Altstetten,2033,private housing,57.2065
Altstetten,2034,cooperative housing,39.6417
Altstetten,2034,private housing,54.9634
Altstetten,2035,cooperative housing,38.0873
Altstetten,2035,private housing,52.8083
Altstetten,2036,cooperative housing,36.5939
Altstetten,2036,private housing,50.7376
Altstetten,2037,cooperative housing,35.159
Altstetten,2037,private housing,48.7482
Altstetten,2038,cooperative housing,33.7804
Altstetten,2038,private housing,46.8367
Altstetten,2039,cooperative housing,32.4559
Altstetten,2039,private housing,45.0002
Altstetten,2040,cooperative housing,31.1833
Altstetten,2040,private housing,43.2357
Altstetten,2041,cooperative housing,29.9605
Altstetten,2041,private housing,41.5404
Altstetten,2042,cooperative housing,28.7858
Altstetten,2042,private housing,39.9116
Altstetten,2043,cooperative housing,27.6571
Altstetten,2043,private housing,38.3467
Altstetten,2044,cooperative housing,26.5726
Altstetten,2044,private housing,36.8431
Altstetten,2045,cooperative housing,25.5307
Altstetten,2045,private housing,35.3984
Altstetten,2046,cooperative housing,24.5296
Altstetten,2046,private housing,34.0104
Altstetten,2047,cooperative housing,23.5678
Altstetten,2047,private housing,32.6769
Altstetten,2048,cooperative housing,22.6437
Altstetten,2048,private housing,31.3956
Altstetten,2049,cooperative housing,21.7558
Altstetten,2049,private housing,30.1646
Altstetten,2050,cooperative housing,20.9028
Altstetten,2050,private housing,28.9818
Hoengg,2021,cooperative housing,33.4003
Hoengg,2021,private housing,54.4069
Hoengg,2022,cooperative housing,32.0907
Hoengg,2022,private housing,52.2736
Hoengg,2023,cooperative housing,30.8324
Hoengg,2023,private housing,50.2239
Hoengg,2024,cooperative housing,29.6234
Hoengg,2024,private housing,48.2546
Hoengg,2025,cooperative housing,28.4619
Hoengg,2025,private housing,46.3625
Hoengg,2026,cooperative housing,27.3459
Hoengg,2026,private housing,44.5446
