year,age,sex,mor
2021,120,female,100
2022,0,male,0.4241
2022,0,female,0.4708
2022,1,male,0.0466
2022,1,female,0.0461
2022,2,male,0.0245
2022,2,female,0.021
2022,3,male,0.0185
2022,3,female,0.0144
2022,4,male,0.014
2022,4,female,0.011
2022,5,male,0.0108
2022,5,female,0.0091
2022,6,male,0.0084
2022,6,female,0.0083
2022,7,male,0.0069
2022,7,female,0.008
2022,8,male,0.0059
2022,8,female,0.0082
2022,9,male,0.0055
2022,9,female,0.0084
2022,10,male,0.0054
2022,10,female,0.009
2022,11,male,0.0055
2022,11,female,0.0094
2022,12,male,0.006
2022,12,female,0.0098
2022,13,male,0.0067
2022,13,female,0.01
2022,14,male,0.0089
2022,14,female,0.0103
2022,15,male,0.0129
2022,15,female,0.0116
2022,16,male,0.0199
2022,16,female,0.0144
2022,17,male,0.0304
2022,17,female,0.0185
2022,18,male,0.0442
2022,18,female,0.0235
2022,19,male,0.0578
2022,19,female,0.0284
2022,20,male,0.0659
2022,20,female,0.031
2022,21,male,0.0669
2022,21,female,0.0311
2022,22,male,0.0634
2022,22,female,0.0296
2022,23,male,0.0583
2022,23,female,0.0277
2022,24,male,0.054
2022,24,female,0.0262
2022,25,male,0.0507
2022,25,female,0.0251
2022,26,male,0.0484
2022,26,female,0.0247
2022,27,male,0.0465
2022,27,female,0.0244
2022,28,male,0.0457
2022,28,female,0.0246
2022,29,male,0.0454
2022,29,female,0.0251
2022,30,male,0.0458
2022,30,female,0.0262
2022,31,male,0.0467
2022,31,female,0.0273
2022,32,male,0.0482
2022,32,female,0.0288
2022,33,male,0.0502
2022,33,female,0.0304
2022,34,male,0.0527
2022,34,female,0.0325
2022,35,male,0.0558
2022,35,female,0.0347
2022,36,male,0.0597
2022,36,female,0.0374
2022,37,male,0.0642
2022,37,female,0.0405
2022,38,male,0.0697
2022,38,female,0.044
2022,39,male,0.0763
2022,39,female,0.0483
2022,40,male,0.0841
2022,40,female,0.0534
2022,41,male,0.0933
2022,41,female,0.0593
2022,42,male,0.1038
2022,42,female,0.0661
2022,43,male,0.1161
2022,43,female,0.0738
2022,44,male,0.1299
2022,44,female,0.0823
2022,45,male,0.1454
2022,45,female,0.092
2022,46,male,0.1623
2022,46,female,0.1026
2022,47,male,0.181
2022,47,female,0.114
2022,48,male,0.2009
2022,48,female,0.1262
2022,49,male,0.2224
2022,49,female,0.1393
2022,50,male,0.2452
2022,50,female,0.1532
2022,51,male,0.2699
2022,51,female,0.1683
2022,52,male,0.2964
2022,52,female,0.1842
2022,53,male,0.3251
2022,53,female,0.2019
2022,54,male,0.3566
2022,54,female,0.2211
2022,55,male,0.3912
2022,55,female,0.2424
2022,56,male,0.4289
2022,56,female,0.266
2022,57,male,0.4707
2022,57,female,0.2919
2022,58,male,0.5163
2022,58,female,0.3206
2022,59,male,0.5668
2022,59,female,0.3524
2022,60,male,0.622
2022,60,female,0.3867
2022,61,male,0.6826
2022,61,female,0.4243
2022,62,male,0.7481
2022,62,female,0.4647
2022,63,male,0.8211
2022,63,female,0.5095
2022,64,male,0.901
2022,64,female,0.5585
2022,65,male,0.9897
2022,65,female,0.6126
2022,66,male,1.087
2022,66,female,0.672
2022,67,male,1.1961
2022,67,female,0.7381
2022,68,male,1.3174
2022,68,female,0.8118
2022,69,male,1.4538
2022,69,female,0.8944
2022,70,male,1.6053
2022,70,female,0.9871
2022,71,male,1.7767
2022,71,female,1.0917
2022,72,male,1.9663
2022,72,female,1.2087
2022,73,male,2.1815
2022,73,female,1.342
2022,74,male,2.4216
2022,74,female,1.4923
2022,75,male,2.6905
2022,75,female,1.6632
2022,76,male,2.9918
2022,76,female,1.8578
2022,77,male,3.3256
2022,77,female,2.0798
2022,78,male,3.7032
2022,78,female,2.3312
2022,79,male,4.124
2022,79,female,2.6192
2022,80,male,4.5917
2022,80,female,2.9481
2022,81,male,5.1167
2022,81,female,3.3249
2022,82,male,5.7014
2022,82,female,3.7558
2022,83,male,6.3517
2022,83,female,4.2546
2022,84,male,7.0763
2022,84,female,4.8299
2022,85,male,7.8887
2022,85,female,5.4934
2022,86,male,8.8019
2022,86,female,6.2645
2022,87,male,9.8274
2022,87,female,7.1557
2022,88,male,10.9857
2022,88,female,8.1907
2022,89,male,12.2939
2022,89,female,9.3983
2022,90,male,13.7852
2022,90,female,10.8046
2022,91,male,15.4798
2022,91,female,12.4436
2022,92,male,17.401
2022,92,female,14.3566
2022,93,male,19.6078
2022,93,female,16.605
2022,94,male,22.1379
2022,94,female,19.214
2022,95,male,25.0313
2022,95,female,22.2598
2022,96,male,28.3439
2022,96,female,25.8268
2022,97,male,32.1303
2022,97,female,29.9424
2022,98,male,36.4106
2022,98,female,34.658
2022,99,male,41.6164
2022,99,female,39.6518
2022,100,male,47.8473
2022,100,female,45.1776
2022,101,male,54.3241
2022,101,female,51.4052
2022,102,male,61.3592
2022,102,female,57.9415
2022,103,male,69.4231
2022,103,female,65.4154
2022,104,male,76.9627
2022,104,female,72.7868
2022,105,male,92.5352
2022,105,female,77.588
2022,106,male,100
2022,106,female,89.4897
2022,107,male,100
2022,107,female,100
2022,108,male,100
2022,108,female,100
2022,109,male,100
2022,109,female,100
2022,110,male,100
2022,110,female,100
2022,111,male,100
2022,111,female,100
2022,112,male,100
2022,112,female,100
2022,113,male,100
2022,113,female,100
2022,114,male,100
2022,114,female,100
2022,115,male,100
2022,115,female,100
2022,116,male,100
2022,116,female,100
2022,117,male,100
2022,117,female,100
2022,118,male,100
2022,118,female,100
2022,119,male,100
2022,119,female,100
2022,120,male,100
2022,120,female,100
2023,0,male,0.4143
2023,0,female,0.4613
2023,1,male,0.0466
2023,1,female,0.0457
2023,2,male,0.0245
2023,2,female,0.0207
2023,3,male,0.0183
2023,3,female,0.014
2023,4,male,0.0139
2023,4,female,0.0106
2023,5,male,0.0107
2023,5,female,0.0088
2023,6,male,0.0083
2023,6,female,0.0079
2023,7,male,0.0066
2023,7,female,0.0078
2023,8,male,0.0056
2023,8,female,0.0078
2023,9,male,0.0051
2023,9,female,0.0082
2023,10,male,0.0051
2023,10,female,0.0086
2023,11,male,0.0051
2023,11,female,0.0092
2023,12,male,0.0056
2023,12,female,0.0094
2023,13,male,0.0063
2023,13,female,0.0096
2023,14,male,0.0083
2023,14,female,0.0101
2023,15,male,0.0123
2023,15,female,0.0114
2023,16,male,0.0192
2023,16,female,0.0141
2023,17,male,0.0298
2023,17,female,0.0181
2023,18,male,0.0434
2023,18,female,0.0231
2023,19,male,0.0571
2023,19,female,0.028
2023,20,male,0.0651
2023,20,female,0.0307
2023,21,male,0.0662
2023,21,female,0.0306
2023,22,male,0.0626
2023,22,female,0.0291
2023,23,male,0.0574
2023,23,female,0.0272
2023,24,male,0.0531
2023,24,female,0.0257
2023,25,male,0.0498
2023,25,female,0.0246
2023,26,male,0.0473
2023,26,female,0.024
2023,27,male,0.0457
2023,27,female,0.0239
2023,28,male,0.0447
2023,28,female,0.024
2023,29,male,0.0443
2023,29,female,0.0246
2023,30,male,0.0447
2023,30,female,0.0255
2023,31,male,0.0457
2023,31,female,0.0267
2023,32,male,0.047
2023,32,female,0.0281
2023,33,male,0.049
2023,33,female,0.0298
2023,34,male,0.0516
2023,34,female,0.0317
2023,35,male,0.0546
2023,35,female,0.034
2023,36,male,0.0583
2023,36,female,0.0365
2023,37,male,0.0629
2023,37,female,0.0395
2023,38,male,0.0682
2023,38,female,0.0432
2023,39,male,0.0746
2023,39,female,0.0473
2023,40,male,0.0823
2023,40,female,0.0523
2023,41,male,0.0913
2023,41,female,0.0581
2023,42,male,0.1018
2023,42,female,0.0646
2023,43,male,0.1138
2023,43,female,0.0722
2023,44,male,0.1274
2023,44,female,0.0808
2023,45,male,0.1426
2023,45,female,0.0902
2023,46,male,0.1593
2023,46,female,0.1005
2023,47,male,0.1773
2023,47,female,0.1117
2023,48,male,0.1968
2023,48,female,0.1236
2023,49,male,0.2178
2023,49,female,0.1363
2023,50,male,0.2403
2023,50,female,0.1499
2023,51,male,0.2644
2023,51,female,0.1646
2023,52,male,0.2906
2023,52,female,0.1804
2023,53,male,0.3187
2023,53,female,0.1975
2023,54,male,0.3496
2023,54,female,0.2165
2023,55,male,0.3834
2023,55,female,0.2372
2023,56,male,0.4205
2023,56,female,0.2603
2023,57,male,0.4613
2023,57,female,0.2859
2023,58,male,0.5063
2023,58,female,0.3139
2023,59,male,0.5555
2023,59,female,0.3449
2023,60,male,0.6099
2023,60,female,0.379
2023,61,male,0.6691
2023,61,female,0.4153
2023,62,male,0.7339
2023,62,female,0.4554
2023,63,male,0.8047
2023,63,female,0.4987
2023,64,male,0.8834
2023,64,female,0.5471
2023,65,male,0.97
2023,65,female,0.6
2023,66,male,1.0665
2023,66,female,0.6585
2023,67,male,1.1726
2023,67,female,0.7232
2023,68,male,1.2918
2023,68,female,0.7953
2023,69,male,1.4246
2023,69,female,0.8761
2023,70,male,1.574
2023,70,female,0.967
2023,71,male,1.7403
2023,71,female,1.0691
2023,72,male,1.9286
2023,72,female,1.1847
2023,73,male,2.1369
2023,73,female,1.3143
2023,74,male,2.3731
2023,74,female,1.4624
2023,75,male,2.6367
2023,75,female,1.6298
2023,76,male,2.9317
2023,76,female,1.8203
2023,77,male,3.262
2023,77,female,2.0376
2023,78,male,3.6276
2023,78,female,2.2859
2023,79,male,4.0414
2023,79,female,2.5676
2023,80,male,4.502
2023,80,female,2.8909
2023,81,male,5.0139
2023,81,female,3.2606
2023,82,male,5.5889
2023,82,female,3.6851
2023,83,male,6.2294
