PublJahr,ArealCd,WohnanteilCd,QuarCd,QuarLang,EigentumGrundstkCd,Kapazitaet,Bestand,Reserve,Inanspruchnahme
2016,1,2,071,Fluntern,2,764615,529097,235518,98841
2016,1,2,072,Hottingen,1,78939,30186,48753,15252
2016,1,2,072,Hottingen,2,932523,630921,301602,83610
2016,1,2,073,Hirslanden,1,71453,48005,23448,7640
2016,1,2,073,Hirslanden,2,545490,360337,185153,55769
2016,1,2,074,Witikon,1,77631,39369,38262,10689
2016,1,2,074,Witikon,2,878033,563785,314248,152411
2016,1,2,081,Seefeld,1,31064,9603,21461,13164
2016,1,2,081,Seefeld,2,417770,302071,115699,18498
2016,1,2,082,Mühlebach,1,62119,31379,30740,5388
2016,1,2,082,Mühlebach,2,556673,307049,249624,39633
2016,1,2,083,Weinegg,1,88373,32702,55671,22347
2016,1,2,083,Weinegg,2,404305,239356,164949,59738
2016,1,2,091,Albisrieden,1,592062,337354,254708,110778
2016,1,2,091,Albisrieden,2,913979,558698,355281,177048
2016,1,2,092,Altstetten,1,684693,388260,296433,143090
2016,1,2,092,Altstetten,2,1606969,986654,620315,238980
2016,1,2,101,Höngg,1,403814,214313,189501,100156
2016,1,2,101,Höngg,2,1218030,945257,272773,110170
2016,1,2,102,Wipkingen,1,336080,174850,161230,68830
2016,1,2,102,Wipkingen,2,711396,535323,176073,50654
2016,1,2,111,Affoltern,1,708887,377725,331162,133419
2016,1,2,111,Affoltern,2,1124078,751112,372966,173537
2016,1,2,115,Oerlikon,1,381138,140449,240690,68263
2016,1,2,115,Oerlikon,2,1463955,890276,573679,203711
2016,1,2,119,Seebach,1,768112,290824,477287,255747
2016,1,2,119,Seebach,2,1406063,763961,642102,257916
2016,1,2,121,Saatlen,1,526792,255386,271406,164825
2016,1,2,121,Saatlen,2,141269,72617,68652,30644
2016,1,2,122,Schwamendingen-Mitte,1,320150,159022,161128,89118
2016,1,2,122,Schwamendingen-Mitte,2,536064,298984,237079,104358
2016,1,2,123,Hirzenbach,1,588393,188180,400213,245889
2016,1,2,123,Hirzenbach,2,434007,215996,218011,108703
