PublJahr,ArealCd,WohnanteilCd,QuarCd,QuarLang,EigentumGrundstkCd,Kapazitaet,Bestand,Reserve,Inanspruchnahme
2017,1,3,123,Hirzenbach,2,448482,232392,216090,106749
2017,2,1,010,Kreis 1,1,93452,94698,-1246,269
2017,2,1,010,Kreis 1,2,252807,256417,-3611,-222
2017,2,1,021,Wollishofen,1,318817,242573,76244,40477
2017,2,1,021,Wollishofen,2,682258,580492,101766,53963
2017,2,1,023,Leimbach,1,143015,147683,-4668,11527
2017,2,1,023,Leimbach,2,167075,118122,48953,19881
2017,2,1,024,Enge,1,54249,36045,18205,6935
2017,2,1,024,Enge,2,620748,506537,114210,36272
2017,2,1,031,Alt-Wiedikon,1,95194,69080,26114,6682
2017,2,1,031,Alt-Wiedikon,2,815869,733500,82368,26771
2017,2,1,033,Friesenberg,1,338004,282128,55875,22540
2017,2,1,033,Friesenberg,2,140852,121971,18882,12011
2017,2,1,034,Sihlfeld,1,348033,265631,82402,34092
2017,2,1,034,Sihlfeld,2,827567,642775,184792,46341
2017,2,1,041,Werd,1,47465,29390,18075,1206
2017,2,1,041,Werd,2,229881,170442,59440,15223
2017,2,1,042,Langstrasse,1,93759,74262,19498,1377
2017,2,1,042,Langstrasse,2,551437,419288,132149,29160
2017,2,1,044,Hard,1,379933,244783,135150,40876
2017,2,1,044,Hard,2,408154,291979,116175,22801
2017,2,1,051,Gewerbeschule,1,226040,130343,95696,9068
2017,2,1,051,Gewerbeschule,2,348773,312853,35920,7428
2017,2,1,052,Escher Wyss,1,33170,18944,14226,7741
2017,2,1,052,Escher Wyss,2,296252,231822,64431,48612
2017,2,1,061,Unterstrass,1,408979,316206,92774,50470
2017,2,1,061,Unterstrass,2,890601,707297,183303,78559
2017,2,1,063,Oberstrass,1,107747,89546,18202,9470
2017,2,1,063,Oberstrass,2,502831,495780,7051,10008
2017,2,1,071,Fluntern,1,48788,28008,20780,12011
2017,2,1,071,Fluntern,2,612500,532035,80465,50253
2017,2,1,072,Hottingen,1,61593,31413,30180,8963
2017,2,1,072,Hottingen,2,783132,636376,146756,41340
2017,2,1,073,Hirslanden,1,54888,49267,5622,2027
2017,2,1,073,Hirslanden,2,450511,359959,90552,29931
2017,2,1,074,Witikon,1,50306,39369,10937,10141
2017,2,1,074,Witikon,2,652375,568259,84115,74764
2017,2,1,081,Seefeld,1,38220,11219,27000,17875
2017,2,1,081,Seefeld,2,369647,293494,76153,15892
2017,2,1,082,Mühlebach,1,47116,31496,15619,2726
2017,2,1,082,Mühlebach,2,463881,312680,151200,22248
2017,2,1,083,Weinegg,1,51128,32702,18427,5931
2017,2,1,083,Weinegg,2,301307,244072,57235,28008
2017,2,1,091,Albisrieden,1,412072,341387,70685,54063
2017,2,1,091,Albisrieden,2,689029,640614,48414,42705
2017,2,1,092,Altstetten,1,479976,388888,91088,55222
2017,2,1,092,Altstetten,2,1101743,1009498,92245,76476
2017,2,1,101,Höngg,1,276183,227108,49076,45726
2017,2,1,101,Höngg,2,919827,957135,-37308,37839
2017,2,1,102,Wipkingen,1,250002,182613,67389,30449
2017,2,1,102,Wipkingen,2,598220,541290,56930,17364
2017,2,1,111,Affoltern,1,443428,389385,54044,55339
2017,2,1,111,Affoltern,2,741621,760806,-19185,60646
2017,2,1,115,Oerlikon,1,181770,150081,31689,4456
2017,2,1,115,Oerlikon,2,1074052,895535,178517,92432
2017,2,1,119,Seebach,1,421526,277409,144117,91993
2017,2,1,119,Seebach,2,916384,801405,114979,93053
2017,2,1,121,Saatlen,1,350653,240219,110434,85095
2017,2,1,121,Saatlen,2,102037,74965,27072,12507
2017,2,1,122,Schwamendingen-Mitte,1,224830,160182,64648,40555
2017,2,1,122,Schwamendingen-Mitte,2,376491,303829,72662,29946
2017,2,1,123,Hirzenbach,1,438235,232067,206169,125968
2017,2,1,123,Hirzenbach,2,319960,232392,87568,44910
2017,2,2,010,Kreis 1,1,112730,94698,18032,2681
2017,2,2,010,Kreis 1,2,261907,256417,5489,680
2017,2,2,021,Wollishofen,1,406685,245701,160984,78429
2017,2,2,021,Wollishofen,2,908116,580805,327311,147345
2017,2,2,023,Leimbach,1,195721,147683,48038,25862
2017,2,2,023,Leimbach,2,206557,118517,88040,33091
2017,2,2,024,Enge,1,74425,36045,38380,13535
2017,2,2,024,Enge,2,736627,506633,229994,71245
2017,2,2,031,Alt-Wiedikon,1,117662,69080,48582,12380
2017,2,2,031,Alt-Wiedikon,2,1046156,733500,312656,69046
2017,2,2,033,Friesenberg,1,424866,284717,140149,43889
2017,2,2,033,Friesenberg,2,182750,121971,60780,23418
2017,2,2,034,Sihlfeld,1,398421,265631,132790,48995
2017,2,2,034,Sihlfeld,2,968887,644771,324116,71646
2017,2,2,041,Werd,1,68926,29390,39536,3349
2017,2,2,041,Werd,2,297482,170442,127040,24114
2017,2,2,042,Langstrasse,1,114205,74262,39944,3833
2017,2,2,042,Langstrasse,2,730787,423249,307538,71488
2017,2,2,044,Hard,1,414440,244783,169657,49656
2017,2,2,044,Hard,2,458290,292153,166137,37039
2017,2,2,051,Gewerbeschule,1,264298,130343,133955,12873
2017,2,2,051,Gewerbeschule,2,438442,312853,125589,20715
2017,2,2,052,Escher Wyss,1,93266,18944,74321,40529
2017,2,2,052,Escher Wyss,2,494059,250993,243066,103035
2017,2,2,061,Unterstrass,1,506533,318177,188356,90891
2017,2,2,061,Unterstrass,2,1104158,707297,396861,137180
2017,2,2,063,Oberstrass,1,132464,89546,42918,17719
2017,2,2,063,Oberstrass,2,606031,495922,110110,39283
2017,2,2,071,Fluntern,1,62751,28825,33926,17099
2017,2,2,071,Fluntern,2,755926,532680,223247,93624
2017,2,2,072,Hottingen,1,77036,31413,45623,14876
2017,2,2,072,Hottingen,2,907191,636527,270664,73414
2017,2,2,073,Hirslanden,1,69131,49267,19865,6816
2017,2,2,073,Hirslanden,2,543988,359959,184029,57882
2017,2,2,074,Witikon,1,70453,39369,31084,24062
2017,2,2,074,Witikon,2,835987,569942,266045,190495
2017,2,2,081,Seefeld,1,48136,11219,36917,23466
2017,2,2,081,Seefeld,2,417890,293494,124397,24829
2017,2,2,082,Mühlebach,1,57987,31496,26491,4798
2017,2,2,082,Mühlebach,2,554229,312680,241548,36307
2017,2,2,083,Weinegg,1,78573,32702,45872,16286
2017,2,2,083,Weinegg,2,388762,245976,142786,54194
2017,2,2,091,Albisrieden,1,502364,341761,160603,91910
2017,2,2,091,Albisrieden,2,846179,662806,183372,80373
2017,2,2,092,Altstetten,1,589565,388888,200677,97708
2017,2,2,092,Altstetten,2,1500982,1019931,481050,193513
2017,2,2,101,Höngg,1,346325,232633,113692,65077
2017,2,2,101,Höngg,2,1163869,958901,204967,101425
2017,2,2,102,Wipkingen,1,302655,185527,117128,47239
2017,2,2,102,Wipkingen,2,700282,543088,157195,44992
2017,2,2,111,Affoltern,1,563851,389883,173968,93736
